iter	Passed	Remaining
0	1	9153
1	3	9590
2	4	9693
3	6	9044
4	7	8527
5	8	8154
6	9	7946
7	10	7972
8	11	7796
9	13	7848
10	14	7989
11	16	8023
12	17	7904
13	18	7826
14	19	7864
15	21	7909
16	22	7947
17	24	8086
18	25	8043
19	26	8004
20	28	7974
21	29	7926
22	30	7924
23	31	7889
24	33	8012
25	34	7973
26	35	7961
27	37	7969
28	38	7997
29	40	8006
30	41	7991
31	42	7987
32	43	7952
33	45	7974
34	46	7997
35	48	7991
36	49	7928
37	49	7841
38	51	7865
39	52	7845
40	53	7830
41	54	7801
42	56	7761
43	57	7791
44	59	7875
45	60	7848
46	61	7851
47	63	7822
48	64	7824
49	65	7783
50	66	7765
51	67	7761
52	68	7739
53	70	7728
54	71	7707
55	72	7720
56	73	7684
57	75	7689
58	76	7670
59	78	7742
60	79	7752
61	80	7739
62	81	7711
63	83	7702
64	84	7693
65	85	7678
66	86	7657
67	87	7638
68	88	7622
69	89	7607
70	91	7599
71	92	7613
72	93	7587
73	94	7575
74	95	7557
75	97	7580
76	98	7580
77	100	7593
78	101	7588
79	102	7571
80	103	7546
81	104	7523
82	105	7511
83	106	7499
84	107	7477
85	108	7471
86	109	7457
87	110	7449
88	112	7450
89	113	7450
90	114	7434
91	115	7426
92	117	7434
93	118	7432
94	119	7427
95	120	7431
96	121	7412
97	122	7394
98	124	7410
99	125	7404
100	126	7400
101	127	7390
102	128	7382
103	129	7369
104	130	7344
105	132	7339
106	133	7332
107	134	7351
108	136	7366
109	137	7358
110	138	7355
111	139	7343
112	141	7348
113	142	7342
114	143	7342
115	144	7331
116	146	7341
117	147	7339
118	148	7348
119	150	7350
120	151	7345
121	152	7349
122	153	7353
123	155	7374
124	157	7418
125	159	7435
126	160	7425
127	162	7433
128	163	7438
129	164	7448
130	166	7453
131	167	7441
132	168	7435
133	169	7434
134	171	7432
135	172	7426
136	174	7450
137	175	7463
138	176	7460
139	177	7448
140	179	7453
141	180	7449
142	181	7435
143	182	7438
144	184	7440
145	185	7426
146	186	7421
147	187	7410
148	188	7414
149	190	7437
150	191	7425
151	192	7418
152	194	7422
153	195	7422
154	196	7423
155	198	7426
156	199	7419
157	200	7416
158	202	7424
159	203	7420
160	204	7425
161	206	7430
162	207	7415
163	208	7413
164	209	7419
165	211	7416
166	212	7406
167	213	7407
168	214	7413
169	216	7416
170	217	7407
171	218	7410
172	219	7402
173	221	7401
174	222	7390
175	223	7381
176	224	7375
177	225	7374
178	226	7365
179	227	7368
180	229	7362
181	230	7359
182	231	7359
183	233	7384
184	235	7393
185	236	7397
186	237	7388
187	239	7394
188	240	7390
189	241	7383
190	242	7381
191	243	7375
192	245	7375
193	246	7367
194	247	7374
195	248	7366
196	249	7357
197	250	7350
198	253	7392
199	254	7391
200	256	7388
201	257	7387
202	258	7383
203	259	7375
204	260	7368
205	261	7362
206	262	7355
207	263	7350
208	264	7341
209	266	7338
210	267	7340
211	268	7335
212	269	7328
213	270	7324
214	272	7321
215	273	7321
216	274	7324
217	275	7317
218	277	7323
219	278	7317
220	279	7318
221	280	7313
222	282	7311
223	283	7308
224	284	7303
225	285	7302
226	286	7294
227	287	7288
228	288	7279
229	290	7276
230	291	7286
231	292	7280
232	293	7275
233	295	7272
234	296	7263
235	297	7254
236	298	7251
237	299	7251
238	300	7243
239	301	7232
240	302	7231
241	303	7224
242	305	7226
243	306	7227
244	307	7221
245	308	7222
246	310	7220
247	311	7229
248	312	7223
249	313	7220
250	315	7216
251	316	7211
252	317	7209
253	318	7197
254	319	7192
255	320	7187
256	321	7182
257	322	7179
258	323	7179
259	325	7184
260	326	7187
261	328	7185
262	329	7187
263	331	7195
264	332	7196
265	333	7191
266	334	7188
267	335	7183
268	336	7178
269	338	7179
270	339	7175
271	340	7172
272	341	7167
273	343	7168
274	344	7167
275	345	7162
276	346	7159
277	347	7159
278	349	7165
279	350	7166
280	352	7166
281	353	7161
282	354	7160
283	355	7164
284	357	7159
285	358	7154
286	359	7155
287	360	7151
288	361	7146
289	363	7150
290	364	7149
291	365	7151
292	367	7149
293	368	7153
294	370	7156
295	371	7156
296	372	7149
297	373	7147
298	374	7143
299	375	7135
300	376	7132
301	377	7128
302	378	7123
303	380	7123
304	381	7124
305	383	7129
306	384	7129
307	385	7125
308	386	7122
309	387	7121
310	389	7122
311	390	7122
312	391	7120
313	393	7120
314	394	7114
315	395	7114
316	396	7112
317	397	7109
318	398	7105
319	400	7104
320	401	7101
321	402	7099
322	403	7098
323	404	7094
324	406	7094
325	408	7104
326	409	7110
327	411	7110
328	412	7110
329	413	7106
330	414	7106
331	416	7106
332	417	7108
333	419	7108
334	420	7108
335	421	7106
336	422	7106
337	424	7104
338	425	7100
339	426	7100
340	428	7105
341	429	7106
342	430	7104
343	432	7103
344	433	7104
345	434	7105
346	436	7105
347	437	7110
348	439	7108
349	440	7106
350	441	7110
351	443	7109
352	444	7104
353	445	7103
354	447	7114
355	448	7117
356	450	7116
357	451	7116
358	452	7116
359	454	7113
360	455	7113
361	456	7113
362	457	7110
363	458	7103
364	460	7102
365	461	7102
366	462	7102
367	464	7104
368	465	7106
369	467	7106
370	468	7112
371	470	7116
372	471	7119
373	473	7121
374	475	7126
375	476	7127
376	477	7123
377	478	7120
378	480	7121
379	481	7121
380	482	7117
381	483	7111
382	484	7111
383	486	7112
384	487	7111
385	489	7113
386	490	7116
387	491	7115
388	493	7113
389	494	7112
390	495	7111
391	497	7113
392	498	7113
393	500	7120
394	501	7120
395	503	7120
