,number,value,datetime_start,datetime_complete,duration,params_bagging_temperature,params_boosting_type,params_bootstrap_type,params_colsample_bylevel,params_depth,params_grow_policy,params_l2_leaf_reg,params_learning_rate,params_max_leaves,params_min_data_in_leaf,params_random_strength,params_subsample,state
366,366,0.3097665662645319,2023-06-22 01:42:17.037118,2023-06-22 01:42:43.215388,0 days 00:00:26.178270,41.86701513946563,,Bayesian,,4,Lossguide,8.01853103422765,0.03214221882808462,98.0,31,74.3039569995926,,COMPLETE
229,229,0.3124486186645064,2023-06-22 00:59:36.542903,2023-06-22 00:59:57.840798,0 days 00:00:21.297895,44.55586177946239,,Bayesian,,4,Lossguide,7.517885761344571,0.03558208355661328,117.0,47,74.82130236302429,,COMPLETE
127,127,0.31282061176940684,2023-06-22 00:20:45.729888,2023-06-22 00:21:08.903844,0 days 00:00:23.173956,37.59344101410146,,Bayesian,,4,Lossguide,30.259523365737774,0.054496490794280206,98.0,37,73.94327511021089,,COMPLETE
159,159,0.31454974220360143,2023-06-22 00:32:18.305777,2023-06-22 00:32:46.577245,0 days 00:00:28.271468,36.88288664805816,,Bayesian,,4,Lossguide,10.495246977614029,0.03192404462024163,114.0,37,77.33727046711465,,COMPLETE
317,317,0.3152298101445746,2023-06-22 01:26:37.623002,2023-06-22 01:26:59.345776,0 days 00:00:21.722774,43.84262105941892,,Bayesian,,4,Lossguide,31.090779048136675,0.06688779145685832,46.0,40,61.2357038471535,,COMPLETE
251,251,0.315919174825966,2023-06-22 01:05:18.420645,2023-06-22 01:05:29.454755,0 days 00:00:11.034110,31.616264575825916,,Bayesian,,4,Lossguide,1.0542682087722461,0.06842724573714051,41.0,36,76.79821056010925,,COMPLETE
247,247,0.3163299724034779,2023-06-22 01:04:39.130972,2023-06-22 01:04:49.385981,0 days 00:00:10.255009,41.845233288802866,,Bayesian,,4,Lossguide,3.689124512932749,0.09512255742336555,47.0,37,75.40667194593856,,COMPLETE
90,90,0.31689132414374244,2023-06-22 00:03:17.127925,2023-06-22 00:03:44.559866,0 days 00:00:27.431941,30.697149881506572,,Bayesian,,4,Depthwise,6.467261322682207,0.0221268537743539,,52,65.46066158250709,,COMPLETE
432,432,0.31760439539589624,2023-06-22 02:00:58.920444,2023-06-22 02:01:19.143919,0 days 00:00:20.223475,44.6560407808837,,Bayesian,,4,Depthwise,42.96021429335392,0.06800682917504572,,54,11.461115596544841,,COMPLETE
138,138,0.3179715190736703,2023-06-22 00:25:05.769860,2023-06-22 00:25:21.663567,0 days 00:00:15.893707,37.41864556753879,,Bayesian,,4,Lossguide,2.7475551619328127,0.04551699994476755,51.0,50,81.46637334612345,,COMPLETE
297,297,0.31831553159689613,2023-06-22 01:18:58.629193,2023-06-22 01:19:14.194774,0 days 00:00:15.565581,19.252130625701636,,Bayesian,,4,Lossguide,39.74411582547888,0.09151631670785652,47.0,61,21.20454600665735,,COMPLETE
