,number,value,datetime_start,datetime_complete,duration,params_boosting_type,params_colsample_bytree,params_learning_rate,params_max_bin,params_max_depth,params_min_child_samples,params_num_leaves,params_reg_alpha,params_reg_lambda,params_subsample_freq,state,params_n_estimators
137,137,0.17512873362467118,2023-06-29 13:19:50.160085,2023-06-29 13:19:52.208376,0 days 00:00:02.048291,goss,0.4901701605114531,0.06287717371179619,41,5,10,49,1.1716387435032611e-05,2.0320606087186432e-08,4,COMPLETE,213
66,66,0.17795615393808062,2023-06-29 13:17:25.404702,2023-06-29 13:17:27.783037,0 days 00:00:02.378335,goss,0.5855606363576956,0.058125765626154784,40,6,10,56,0.00034682974370903456,1.677650869981609e-08,6,COMPLETE,292
101,101,0.17881541898385944,2023-06-29 13:18:33.552236,2023-06-29 13:18:35.218942,0 days 00:00:01.666706,goss,0.5688936747358242,0.0701564565795463,52,7,12,65,1.3575007887072708e-05,9.223996649419104e-08,6,COMPLETE,147
810,810,0.17926695176386212,2023-06-29 14:02:42.877305,2023-06-29 14:02:45.655523,0 days 00:00:02.778218,goss,0.6267458470876157,0.03353349903529384,40,5,11,56,5.172434839989331e-06,7.166722201796803e-08,5,COMPLETE,392
116,116,0.17989637287233542,2023-06-29 13:19:02.935716,2023-06-29 13:19:04.785193,0 days 00:00:01.849477,goss,0.5260953795198187,0.058662054214158765,68,5,12,53,3.21129279748068e-05,7.565219679471666e-08,5,COMPLETE,232
558,558,0.179964677525975,2023-06-29 13:41:07.612988,2023-06-29 13:41:09.186893,0 days 00:00:01.573905,goss,0.49874018751037985,0.07331837205616773,54,5,9,59,1.7819256579548198e-06,5.227461908684624e-06,3,COMPLETE,163
324,324,0.18017677777757563,2023-06-29 13:27:55.749903,2023-06-29 13:27:57.497696,0 days 00:00:01.747793,goss,0.5996066931181105,0.06277554367972647,66,5,10,29,0.008490544045110043,2.248460810680114e-06,3,COMPLETE,198
440,440,0.18054648187588887,2023-06-29 13:32:23.702855,2023-06-29 13:32:25.330168,0 days 00:00:01.627313,goss,0.48384067535563674,0.036756102044632165,49,5,8,28,3.488446028126917e-05,1.546536945827656e-08,3,COMPLETE,321
882,882,0.1810917969995865,2023-06-29 14:08:32.818637,2023-06-29 14:08:35.182129,0 days 00:00:02.363492,goss,0.3833181972569063,0.04146833672983419,54,8,12,56,7.659580859139268e-05,2.5814216897615185e-08,4,COMPLETE,300
877,877,0.18114198551208888,2023-06-29 14:08:12.192405,2023-06-29 14:08:14.340726,0 days 00:00:02.148321,goss,0.47613034195193754,0.04186591677687999,54,5,11,55,7.790766523523028e-06,6.822503138283585e-08,4,COMPLETE,244
756,756,0.18132968198444255,2023-06-29 13:58:21.306746,2023-06-29 13:58:23.979564,0 days 00:00:02.672818,goss,0.48728282665621564,0.0345766917354798,38,6,12,63,2.0089120830257767e-05,7.907178643354655e-08,2,COMPLETE,307
981,981,0.18169618323784284,2023-06-29 14:17:29.639791,2023-06-29 14:17:32.945928,0 days 00:00:03.306137,goss,0.5253145442989973,0.05472572676143733,35,6,10,54,3.2849294978441186e-05,0.0007425153358427888,3,COMPLETE,234
145,145,0.18178208318011285,2023-06-29 13:20:07.887066,2023-06-29 13:20:10.928454,0 days 00:00:03.041388,goss,0.47809696044000655,0.032633230200634675,44,6,10,43,3.484551762329174e-05,3.905710117520663e-08,4,COMPLETE,331
512,512,0.1817963236579664,2023-06-29 13:38:23.929230,2023-06-29 13:38:25.550828,0 days 00:00:01.621598,goss,0.4487488291219833,0.07569044997855724,50,7,11,35,4.618456271368883e-05,0.00021703810743784846,3,COMPLETE,206
984,984,0.18217208273299274,2023-06-29 14:17:45.798226,2023-06-29 14:17:48.323726,0 days 00:00:02.525500,goss,0.5215646678608004,0.049795901679178474,32,6,8,53,3.219035789728768e-05,0.0009220550552315107,3,COMPLETE,177
270,270,0.18220680709953968,2023-06-29 13:25:13.637345,2023-06-29 13:25:15.696761,0 days 00:00:02.059416,goss,0.49980862688810473,0.04479544218892382,51,5,8,60,0.0018364682491132515,1.2654190400005783e-07,3,COMPLETE,190
