,number,value,datetime_start,datetime_complete,duration,params_boosting_type,params_colsample_bytree,params_learning_rate,params_max_bin,params_max_depth,params_min_child_samples,params_num_leaves,params_reg_alpha,params_reg_lambda,params_subsample,params_subsample_freq,state,params_n_estimators
437,437,0.1700916726638811,2023-07-10 12:32:06.743662,2023-07-10 12:32:08.267319,0 days 00:00:01.523657,goss,0.6204955836777386,0.04916262293048763,32,10,12,61,0.00021963606449486393,6.476059262144023e-06,,6,COMPLETE,229
545,545,0.17560185563315348,2023-07-10 12:38:27.060118,2023-07-10 12:38:29.653270,0 days 00:00:02.593152,goss,0.4433165571022578,0.034457985509109994,37,10,7,65,1.5309577352359496e-07,8.558601998917548e-08,,6,COMPLETE,339
566,566,0.1771020430607564,2023-07-10 12:39:43.399289,2023-07-10 12:39:45.932481,0 days 00:00:02.533192,goss,0.4227078048999432,0.02918317786994408,32,10,11,57,9.199084613525024e-08,3.457224363033964e-08,,6,COMPLETE,455
583,583,0.17721254552585672,2023-07-10 12:41:28.140932,2023-07-10 12:41:30.208458,0 days 00:00:02.067526,goss,0.3974558457293236,0.038108578785928056,32,10,9,59,1.192059651922963e-07,1.9708822968665612e-08,,6,COMPLETE,265
582,582,0.17727281946094514,2023-07-10 12:41:26.118289,2023-07-10 12:41:28.140058,0 days 00:00:02.021769,goss,0.4105743851142575,0.03679978310929632,37,10,10,60,1.0261417135150979e-07,1.5861987613611084e-08,,6,COMPLETE,333
563,563,0.17824764443099722,2023-07-10 12:39:36.709336,2023-07-10 12:39:38.724128,0 days 00:00:02.014792,goss,0.41604336082854465,0.03598492097024153,37,10,11,57,9.492777495646022e-08,6.312042264487267e-08,,6,COMPLETE,445
533,533,0.17851608320180648,2023-07-10 12:37:54.792700,2023-07-10 12:37:56.915610,0 days 00:00:02.122910,goss,0.4652922604228052,0.03523368202283112,32,10,10,65,1.3202898373095843e-07,1.2506583497600403e-07,,6,COMPLETE,410
506,506,0.17870513255104595,2023-07-10 12:36:59.584124,2023-07-10 12:37:01.333433,0 days 00:00:01.749309,goss,0.4954519419366857,0.04214712188925141,36,10,12,55,3.805801732033151e-08,5.331322970818915e-07,,4,COMPLETE,276
639,639,0.17879868861158504,2023-07-10 12:45:31.329913,2023-07-10 12:45:33.678771,0 days 00:00:02.348858,goss,0.427679947675828,0.03942063658127469,39,10,8,65,0.0002321933359313302,3.818530904904975e-08,,6,COMPLETE,272
178,178,0.1790244861676577,2023-07-10 11:55:49.694043,2023-07-10 11:55:52.102187,0 days 00:00:02.408144,goss,0.5615388039024823,0.05130423197665292,38,10,9,107,2.3631787272419453e-06,2.2593489080915865e-07,,2,COMPLETE,255
525,525,0.17924341151980844,2023-07-10 12:37:30.794434,2023-07-10 12:37:33.278574,0 days 00:00:02.484140,goss,0.47871372601988027,0.030402057780644986,32,10,10,58,2.3732845970023562e-08,2.450604936321874e-07,,6,COMPLETE,390
642,642,0.17943043580940599,2023-07-10 12:45:36.585017,2023-07-10 12:45:38.500769,0 days 00:00:01.915752,goss,0.43513455720596694,0.04343108021931813,44,10,8,64,0.00032545815643477544,0.00723888774516823,,7,COMPLETE,259
552,552,0.17944289741448763,2023-07-10 12:38:46.659840,2023-07-10 12:38:48.981844,0 days 00:00:02.322004,goss,0.4282724254036659,0.03603557554767559,38,10,9,63,3.220014831964184e-07,4.229294531530312e-08,,6,COMPLETE,519
527,527,0.17947898693834816,2023-07-10 12:37:36.116152,2023-07-10 12:37:38.966408,0 days 00:00:02.850256,goss,0.49121564382470256,0.028840897723939433,32,10,7,55,1.970680846987846e-08,2.3791817463989617e-07,,6,COMPLETE,493
564,564,0.1796704818160747,2023-07-10 12:39:38.724999,2023-07-10 12:39:40.680725,0 days 00:00:01.955726,goss,0.4299314753594633,0.03559329594274074,36,10,11,56,6.871758753198034e-08,6.358211307963283e-08,,6,COMPLETE,322
724,724,0.1797132515117335,2023-07-10 12:53:16.439571,2023-07-10 12:53:19.273273,0 days 00:00:02.833702,goss,0.4463941258957023,0.03616256655694172,32,10,7,55,3.585106955873852e-08,4.709022779212182e-08,,6,COMPLETE,316
504,504,0.17977331454963838,2023-07-10 12:36:56.502230,2023-07-10 12:36:58.173044,0 days 00:00:01.670814,goss,0.48992632122369467,0.043773153738376654,32,10,11,36,8.040964266056725e-08,7.762767496391409e-07,,5,COMPLETE,315
570,570,0.17979110204809481,2023-07-10 12:40:31.714822,2023-07-10 12:40:34.079059,0 days 00:00:02.364237,goss,0.4153261336183357,0.032471499100046604,32,10,11,57,2.2797191318192058e-07,2.0392467612245885e-08,,6,COMPLETE,375
953,953,0.1799091851140417,2023-07-10 13:25:59.238261,2023-07-10 13:26:00.547370,0 days 00:00:01.309109,goss,0.5560771878728149,0.09417754569613174,36,10,9,57,4.765574333619679e-07,3.107733579900822e-07,,6,COMPLETE,140
443,443,0.17995486380308207,2023-07-10 12:32:29.896127,2023-07-10 12:32:31.905466,0 days 00:00:02.009339,goss,0.6359599506918027,0.03319687300010645,32,10,12,9,0.00025515097221691775,8.147223393192654e-06,,5,COMPLETE,428
581,581,0.18009007939659918,2023-07-10 12:41:24.014784,2023-07-10 12:41:26.117370,0 days 00:00:02.102586,goss,0.3988153214498391,0.03580465813081958,37,10,9,60,9.952534304213253e-08,1.725776032601208e-08,,6,COMPLETE,288
309,309,0.18009905385590735,2023-07-10 12:20:48.162423,2023-07-10 12:20:57.046484,0 days 00:00:08.884061,goss,0.5945364241376607,0.006583071922911611,32,8,7,108,7.850828280295916e-07,0.00013570693360341883,,2,COMPLETE,1473
845,845,0.18027965616510522,2023-07-10 13:12:39.592671,2023-07-10 13:12:41.605716,0 days 00:00:02.013045,goss,0.6518523221157796,0.044729071079458074,32,10,13,73,1.3956775359651258e-07,2.4043526679382577e-06,,6,COMPLETE,286
855,855,0.18059746428261375,2023-07-10 13:13:22.603369,2023-07-10 13:13:24.536923,0 days 00:00:01.933554,goss,0.6411937825620171,0.046235189973621665,32,10,13,75,2.9800535890361588e-08,2.030612181986374e-06,,4,COMPLETE,290
597,597,0.18062500769260398,2023-07-10 12:41:53.517373,2023-07-10 12:41:55.869122,0 days 00:00:02.351749,goss,0.4138846671623212,0.03253643094552904,32,10,9,55,2.3538064890474377e-07,1.1469007269477023e-08,,6,COMPLETE,335
847,847,0.18075205680145984,2023-07-10 13:12:42.943382,2023-07-10 13:12:44.775649,0 days 00:00:01.832267,goss,0.6388353272231352,0.04978903196902654,32,10,14,74,1.482723349186378e-07,9.103586502265795e-07,,6,COMPLETE,341
469,469,0.1808879440369689,2023-07-10 12:35:02.342796,2023-07-10 12:35:07.706713,0 days 00:00:05.363917,goss,0.6253738459309713,0.011439704027254275,32,10,9,117,0.00013472362144446504,1.4954271708118787e-05,,5,COMPLETE,977
736,736,0.18109601895778832,2023-07-10 12:54:34.701011,2023-07-10 12:54:37.465643,0 days 00:00:02.764632,goss,0.4425380631524233,0.03709774889459823,37,10,7,71,0.00014192854151815753,1.796953241715572e-08,,6,COMPLETE,249
538,538,0.18120615154437966,2023-07-10 12:38:05.851475,2023-07-10 12:38:08.474674,0 days 00:00:02.623199,goss,0.4476098338670027,0.03302603517289199,39,10,8,62,1.0047284836801037e-07,9.719404453631693e-08,,6,COMPLETE,379
