,number,value,datetime_start,datetime_complete,duration,params_bagging_temperature,params_boosting_type,params_bootstrap_type,params_colsample_bylevel,params_depth,params_grow_policy,params_l2_leaf_reg,params_learning_rate,params_max_leaves,params_min_data_in_leaf,params_random_strength,params_subsample,state,params_n_estimators
396,396,0.22174136697233676,2023-07-12 22:38:36.493510,2023-07-12 22:38:42.001317,0 days 00:00:05.507807,,,MVS,0.44862987805666044,10,Depthwise,3.267182921204289,0.034624357527861103,,31,66.99954134814993,0.36597162274954037,COMPLETE,5997
385,385,0.2243860462343015,2023-07-12 22:37:18.605661,2023-07-12 22:37:23.964866,0 days 00:00:05.359205,,,MVS,0.45593880043164703,8,Depthwise,21.6176499674513,0.05144637374453834,,30,65.38394493637341,0.3386486414398783,COMPLETE,60
153,153,0.22458101976638634,2023-07-12 21:30:05.818194,2023-07-12 21:30:11.864530,0 days 00:00:06.046336,,,MVS,0.37733511014202953,10,Depthwise,7.0934539409743955,0.04008034920613776,,20,47.43080259473222,0.30464588420920047,COMPLETE,253
150,150,0.2263825072442368,2023-07-12 21:29:45.446953,2023-07-12 21:29:52.564403,0 days 00:00:07.117450,,,MVS,0.39273985981958404,10,Depthwise,14.056569638012734,0.03285490009348873,,24,49.848999996165645,0.3104738622164088,COMPLETE,29
398,398,0.22679781421738093,2023-07-12 22:38:47.298714,2023-07-12 22:38:52.245317,0 days 00:00:04.946603,,,MVS,0.4354760377347422,10,Depthwise,8.550979960268531,0.04163992191380561,,35,64.31497075983455,0.3891252684530607,COMPLETE,328
803,803,0.22691027876208658,2023-07-13 02:12:37.037636,2023-07-13 02:12:42.961993,0 days 00:00:05.924357,,,MVS,0.6351176421388667,10,Depthwise,15.448290403652445,0.0496610743226531,,23,20.816081026506073,0.3383732285876072,COMPLETE,2
185,185,0.22749166578147068,2023-07-12 21:49:21.126580,2023-07-12 21:49:26.505283,0 days 00:00:05.378703,,,MVS,0.42605423124729563,10,Depthwise,35.121637340899944,0.050697784580359256,,30,48.34082808207439,0.3393058695419384,COMPLETE,64
461,461,0.22775727160753917,2023-07-12 23:01:25.368788,2023-07-12 23:01:33.021110,0 days 00:00:07.652322,,,MVS,0.7599672326558906,10,Depthwise,7.537060701346983,0.031151537275842325,,26,56.256050293708185,0.3273004376161637,COMPLETE,253
171,171,0.22782916032209094,2023-07-12 21:48:03.003657,2023-07-12 21:48:08.156077,0 days 00:00:05.152420,,,MVS,0.4030480744803521,10,Depthwise,30.768484781047743,0.0558373864735509,,29,49.232127197136386,0.3578507906698578,COMPLETE,38
433,433,0.22789625003338226,2023-07-12 22:50:41.713608,2023-07-12 22:50:47.651113,0 days 00:00:05.937505,,,MVS,0.39282061779743466,10,Depthwise,20.60918356951989,0.03788492566480408,,26,93.829394788164,0.31543303532506617,COMPLETE,1096
