,number,value,datetime_start,datetime_complete,duration,params_boosting_type,params_colsample_bytree,params_learning_rate,params_max_bin,params_max_depth,params_min_child_samples,params_num_leaves,params_reg_alpha,params_reg_lambda,params_subsample,params_subsample_freq,state,params_n_estimators
757,757,0.17285605464220016,2023-07-06 20:15:47.285928,2023-07-06 20:15:48.390551,0 days 00:00:01.104623,goss,0.6116855360904869,0.09966061692203068,73,7,9,9,4.133681698031366e-05,1.4439464033922156e-07,,3,COMPLETE,96
624,624,0.1760773294018523,2023-07-06 20:04:19.211142,2023-07-06 20:04:21.473714,0 days 00:00:02.262572,goss,0.6761209250731437,0.1234503010193494,80,7,7,8,5.602764356744216e-06,0.8061501633782951,,7,COMPLETE,119
762,762,0.176353413018552,2023-07-06 20:16:15.421090,2023-07-06 20:16:16.535269,0 days 00:00:01.114179,goss,0.5739161729487057,0.08756418126728531,85,7,6,6,3.7971882699002676e-05,1.2015091920898764e-07,,3,COMPLETE,105
164,164,0.17653777516306302,2023-07-06 19:34:10.031565,2023-07-06 19:34:12.860199,0 days 00:00:02.828634,goss,0.5061648389948007,0.03642416530448507,85,8,8,29,3.105658463389751e-05,0.013182383089869177,,1,COMPLETE,214
430,430,0.17702524779217482,2023-07-06 19:49:48.032554,2023-07-06 19:49:49.612089,0 days 00:00:01.579535,goss,0.5056673734527292,0.05589112550753703,89,5,11,30,3.6650104130506518e-06,2.7893389048533707e-07,,4,COMPLETE,191
556,556,0.17741017816115137,2023-07-06 19:57:00.098558,2023-07-06 19:57:07.555227,0 days 00:00:07.456669,goss,0.6263516111992712,0.007127195358786167,69,5,10,40,1.9271337570034433e-07,8.932840679494087e-06,,7,COMPLETE,1379
413,413,0.17746705021417836,2023-07-06 19:49:11.632580,2023-07-06 19:49:13.184682,0 days 00:00:01.552102,goss,0.48406545230353626,0.05114370584898537,74,6,7,8,0.00013804495803304215,0.0007210808039056161,,4,COMPLETE,189
431,431,0.17803303196302525,2023-07-06 19:49:49.612940,2023-07-06 19:49:51.125975,0 days 00:00:01.513035,goss,0.5093933836079976,0.0569643467124141,92,5,10,32,0.0008333656951292668,2.1110793775092198e-05,,6,COMPLETE,144
241,241,0.17838952066001496,2023-07-06 19:38:35.135681,2023-07-06 19:38:38.778163,0 days 00:00:03.642482,goss,0.5057448679210172,0.019544113219346144,86,8,10,22,1.401161796108071e-05,0.011351087654506715,,7,COMPLETE,433
936,936,0.1786724477101063,2023-07-06 20:30:58.739720,2023-07-06 20:31:00.736883,0 days 00:00:01.997163,goss,0.5561582060626385,0.03520405290641913,92,5,9,9,0.0022546885304034316,2.41847166278028e-07,,6,COMPLETE,228
