,number,value,datetime_start,datetime_complete,duration,params_boosting_type,params_colsample_bytree,params_learning_rate,params_max_bin,params_max_depth,params_min_child_samples,params_num_leaves,params_reg_alpha,params_reg_lambda,params_subsample,params_subsample_freq,state,params_n_estimators
535,535,0.17156010404871808,2023-07-17 17:58:18.619368,2023-07-17 17:58:20.191289,0 days 00:00:01.571921,goss,0.5511650651835975,0.051897138179047154,39,7,14,127,1.6228616851508712e-07,0.05894207726226431,,5,COMPLETE,596
322,322,0.17178046518030893,2023-07-17 17:41:58.414582,2023-07-17 17:42:01.920816,0 days 00:00:03.506234,goss,0.44946154141984673,0.027901212547371417,32,7,13,38,9.022427738905218e-05,4.365939514825954e-06,,4,COMPLETE,507
571,571,0.17228440411280682,2023-07-17 18:00:06.870051,2023-07-17 18:00:12.773001,0 days 00:00:05.902950,goss,0.5443237049875626,0.03048893278907932,39,7,8,97,0.00020469309349673156,0.0003713442881445954,,5,COMPLETE,485
311,311,0.17251467983204335,2023-07-17 17:40:51.095610,2023-07-17 17:40:54.635363,0 days 00:00:03.539753,goss,0.4648838415148996,0.027068722079692072,32,7,10,50,0.0002446483224909359,9.493912917054288e-07,,5,COMPLETE,579
591,591,0.1727684508173658,2023-07-17 18:02:26.691941,2023-07-17 18:02:32.169354,0 days 00:00:05.477413,goss,0.563501943760657,0.022912922723583716,32,9,9,77,0.0016861451484697838,2.389210942736798e-07,,3,COMPLETE,619
173,173,0.1730757444317606,2023-07-17 17:32:57.846902,2023-07-17 17:33:04.205554,0 days 00:00:06.358652,goss,0.6513832916016882,0.015225257061312388,34,7,7,36,5.492884890933765e-05,0.0006092706328860775,,5,COMPLETE,812
273,273,0.1730761616420537,2023-07-17 17:38:12.123038,2023-07-17 17:38:14.995118,0 days 00:00:02.872080,goss,0.48512247889840476,0.03557426829653532,52,7,16,43,2.467783912718998e-07,6.999214425784152e-05,,4,COMPLETE,619
579,579,0.17313009651577116,2023-07-17 18:00:47.447510,2023-07-17 18:00:50.546102,0 days 00:00:03.098592,goss,0.54853087589249,0.03908497537290691,36,9,14,96,0.0005106637321140613,6.85388372301891e-05,,3,COMPLETE,483
426,426,0.1735459497999779,2023-07-17 17:49:36.863808,2023-07-17 17:49:41.638904,0 days 00:00:04.775096,goss,0.562718887998571,0.02875508361480859,39,7,10,22,6.727484233868961e-07,1.0263578060730313e-06,,4,COMPLETE,419
707,707,0.17356293965504738,2023-07-17 18:16:00.509993,2023-07-17 18:16:02.874462,0 days 00:00:02.364469,goss,0.5566204066960718,0.027496528595320466,32,10,10,95,0.00016748458618074183,0.0036012882908730017,,4,COMPLETE,484
250,250,0.17367234954867383,2023-07-17 17:36:37.005734,2023-07-17 17:36:40.120938,0 days 00:00:03.115204,goss,0.650924912725968,0.026605821729043074,36,7,10,39,7.640094986024443e-05,3.6473275536337606e-08,,5,COMPLETE,566
573,573,0.17373253285810555,2023-07-17 18:00:31.830011,2023-07-17 18:00:33.267538,0 days 00:00:01.437527,goss,0.5340236862707879,0.05032977157282451,36,10,14,84,0.00010981923593048439,0.23027419799359455,,5,COMPLETE,339
934,934,0.1738517535117467,2023-07-17 18:39:10.704919,2023-07-17 18:39:13.328911,0 days 00:00:02.623992,goss,0.550540999225744,0.028708618337922244,32,7,12,96,2.4000779509716395e-06,0.022413460184340577,,4,COMPLETE,447
748,748,0.17385546447622807,2023-07-17 18:19:22.298750,2023-07-17 18:19:23.940760,0 days 00:00:01.642010,goss,0.46360626792598475,0.05117266748971739,36,7,13,34,9.403042742088238e-08,3.517153775254769e-08,,4,COMPLETE,333
631,631,0.17398175319269266,2023-07-17 18:08:15.249391,2023-07-17 18:08:18.887792,0 days 00:00:03.638401,goss,0.51483530165466,0.020372493183252575,52,10,9,107,2.347050160911718e-07,0.00023647876838583126,,4,COMPLETE,805
303,303,0.17401747079020358,2023-07-17 17:40:19.339613,2023-07-17 17:40:22.707263,0 days 00:00:03.367650,goss,0.47192012380024595,0.025407857992433534,36,7,15,36,8.705894820937154e-08,2.753162496774812e-06,,4,COMPLETE,788
271,271,0.17409428139377833,2023-07-17 17:38:05.658386,2023-07-17 17:38:08.534599,0 days 00:00:02.876213,goss,0.48673933324092683,0.033288146358400876,45,7,12,44,8.112205817060196e-06,1.1515391474017644e-05,,5,COMPLETE,483
201,201,0.17422821938411626,2023-07-17 17:34:15.107375,2023-07-17 17:34:17.824069,0 days 00:00:02.716694,goss,0.6532369859146758,0.03356910600212204,36,7,11,38,5.831918901466409e-06,0.005032798561864207,,5,COMPLETE,467
252,252,0.1743508119583535,2023-07-17 17:36:42.665570,2023-07-17 17:36:46.250340,0 days 00:00:03.584770,goss,0.6566874091048004,0.024630215703469654,36,7,10,39,5.053980246951325e-05,2.2259668606070747e-08,,5,COMPLETE,679
451,451,0.1743972793638168,2023-07-17 17:51:44.431545,2023-07-17 17:51:47.966791,0 days 00:00:03.535246,goss,0.6427832985962547,0.021398992938042767,32,6,11,44,3.458512516736104e-07,3.143285845586257e-08,,4,COMPLETE,665
324,324,0.17446106219331273,2023-07-17 17:42:06.502948,2023-07-17 17:42:09.280436,0 days 00:00:02.777488,goss,0.43025792234987226,0.03874730264612844,36,7,11,37,1.438103119756776e-08,5.3606024580635505e-06,,4,COMPLETE,539
152,152,0.17448732435661787,2023-07-17 17:31:59.964128,2023-07-17 17:32:02.446839,0 days 00:00:02.482711,goss,0.6996600221860756,0.03207726244084735,32,7,12,31,6.145421812875221e-05,0.0027323681681943267,,5,COMPLETE,504
477,477,0.17468847401384924,2023-07-17 17:53:21.928830,2023-07-17 17:53:24.263811,0 days 00:00:02.334981,goss,0.5294368529858248,0.04097416553670058,36,5,11,20,7.419541644395914e-05,0.0009532473531051054,,3,COMPLETE,522
609,609,0.17477834656739938,2023-07-17 18:05:07.815071,2023-07-17 18:05:11.355573,0 days 00:00:03.540502,goss,0.5337839115164171,0.02421390162384644,36,10,14,105,0.00029835804496095865,0.00022647887783034564,,6,COMPLETE,895
458,458,0.17480825270411912,2023-07-17 17:52:10.537699,2023-07-17 17:52:12.023322,0 days 00:00:01.485623,goss,0.5372375549598102,0.06355414708195192,44,5,11,27,2.0029180562197122e-07,2.6776000515913e-08,,4,COMPLETE,301
764,764,0.17506605452877183,2023-07-17 18:20:36.953283,2023-07-17 18:20:38.737959,0 days 00:00:01.784676,goss,0.46964414175665026,0.08527596222338547,32,7,13,110,0.00023275884266497814,0.002655441300668176,,3,COMPLETE,258
662,662,0.1752183102753444,2023-07-17 18:12:07.313327,2023-07-17 18:12:09.981592,0 days 00:00:02.668265,goss,0.46597654475386047,0.02957110968421635,36,7,13,91,0.00012888080781550207,2.336146982834198e-07,,2,COMPLETE,671
354,354,0.17522711049219164,2023-07-17 17:44:31.484659,2023-07-17 17:44:35.441919,0 days 00:00:03.957260,goss,0.6116738990531798,0.02910459605159948,32,7,11,42,6.374313915339949e-05,2.7592257330037142e-08,,5,COMPLETE,644
937,937,0.17533364032787274,2023-07-17 18:39:20.043268,2023-07-17 18:39:22.613972,0 days 00:00:02.570704,goss,0.5447830378442547,0.031201769651548035,36,5,10,94,2.3789121880011257e-06,8.52185078806178e-08,,4,COMPLETE,479
765,765,0.17540005239173342,2023-07-17 18:20:38.738882,2023-07-17 18:20:40.047658,0 days 00:00:01.308776,goss,0.4849242276948025,0.08066968127427647,32,7,12,37,0.00024794446314953174,0.0032805701557959855,,3,COMPLETE,218
508,508,0.17541466725997323,2023-07-17 17:55:58.666639,2023-07-17 17:56:00.970028,0 days 00:00:02.303389,goss,0.48739251200859374,0.04543444291891627,39,5,8,45,2.7057480643563888e-06,0.00041323887994281004,,4,COMPLETE,295
467,467,0.17546405211298016,2023-07-17 17:52:55.281141,2023-07-17 17:52:56.765556,0 days 00:00:01.484415,goss,0.5479493485411681,0.060715149915575826,44,6,14,24,4.364477864665965e-07,1.8025858996563012e-08,,4,COMPLETE,271
954,954,0.17561155752241514,2023-07-17 18:42:00.039366,2023-07-17 18:42:02.541383,0 days 00:00:02.502017,goss,0.6246445141434427,0.03591962517135539,36,7,12,19,2.5422140413155007e-08,3.501144642057707e-07,,5,COMPLETE,540
221,221,0.17574970537630677,2023-07-17 17:35:01.219592,2023-07-17 17:35:03.453269,0 days 00:00:02.233677,goss,0.6925146017762107,0.03365056653552814,32,7,11,38,1.5143883385921835e-05,1.4665784179421225e-08,,5,COMPLETE,482
155,155,0.17580461406084053,2023-07-17 17:32:08.193827,2023-07-17 17:32:11.223348,0 days 00:00:03.029521,goss,0.6838423792731936,0.040291366074200925,36,7,10,30,0.00010571265464070515,0.0007906305413423637,,5,COMPLETE,510
550,550,0.17580703013573695,2023-07-17 17:59:08.885418,2023-07-17 17:59:10.474750,0 days 00:00:01.589332,goss,0.4857902339714576,0.03909978469931323,39,5,18,70,0.0004696636015583913,0.19394007779706876,,3,COMPLETE,669
663,663,0.17582645384520684,2023-07-17 18:12:09.982496,2023-07-17 18:12:12.544424,0 days 00:00:02.561928,goss,0.47704801632790966,0.0286237589780746,36,7,9,89,0.00011449049051873348,2.0091226271817943e-07,,2,COMPLETE,517
709,709,0.17588818307202042,2023-07-17 18:16:05.250488,2023-07-17 18:16:07.947431,0 days 00:00:02.696943,goss,0.5691766869332969,0.022157095330535993,32,10,11,35,0.00010285404065750556,0.002731935055071024,,4,COMPLETE,622
228,228,0.17590055096570342,2023-07-17 17:35:16.796797,2023-07-17 17:35:18.417007,0 days 00:00:01.620210,goss,0.6665433813116955,0.04591339104804908,32,7,15,32,3.570745376494671e-05,2.3709433129089575e-08,,5,COMPLETE,381
637,637,0.17594443010139155,2023-07-17 18:08:32.333547,2023-07-17 18:08:37.455807,0 days 00:00:05.122260,goss,0.5195894555995328,0.011765420683709771,52,10,10,118,1.646492526835808e-07,0.0003967010692528293,,4,COMPLETE,1156
718,718,0.17604426153585334,2023-07-17 18:17:02.341706,2023-07-17 18:17:04.690960,0 days 00:00:02.349254,goss,0.5649707452944697,0.02779696054999663,36,10,13,99,8.45198622408624e-05,0.022147660291610645,,5,COMPLETE,674
192,192,0.17619909665829908,2023-07-17 17:33:56.554757,2023-07-17 17:33:58.349471,0 days 00:00:01.794714,goss,0.6825870846421093,0.043089187610383425,36,7,11,33,5.569538201377556e-05,0.0009313442211313173,,5,COMPLETE,265
432,432,0.17623757951479926,2023-07-17 17:50:56.601251,2023-07-17 17:50:59.652445,0 days 00:00:03.051194,goss,0.4161737338676786,0.03153268964248751,44,7,8,29,7.394520476534626e-07,2.0629639191509058e-06,,4,COMPLETE,464
687,687,0.17624204746088665,2023-07-17 18:14:00.405549,2023-07-17 18:14:02.015581,0 days 00:00:01.610032,goss,0.4448730633349272,0.04661802360957128,32,7,9,46,0.00010591284982089913,2.789489204422568e-06,,7,COMPLETE,219
263,263,0.17631071586269226,2023-07-17 17:37:26.674408,2023-07-17 17:37:33.118390,0 days 00:00:06.443982,goss,0.6526144522561151,0.015832729770689342,36,7,10,44,2.5407455446106346e-08,1.8028965396766044e-06,,4,COMPLETE,805
353,353,0.17651279410314438,2023-07-17 17:44:27.966204,2023-07-17 17:44:31.483805,0 days 00:00:03.517601,goss,0.6184767419794835,0.028636574464272136,32,7,11,41,6.200241167046231e-05,2.7372384363590383e-08,,5,COMPLETE,532
478,478,0.17660284720692726,2023-07-17 17:53:24.264673,2023-07-17 17:53:26.388822,0 days 00:00:02.124149,goss,0.523743413579657,0.036532841806099774,49,5,11,16,8.423830767020771e-05,0.0007862342042509186,,4,COMPLETE,343
666,666,0.17669612920171904,2023-07-17 18:12:17.926089,2023-07-17 18:12:21.127957,0 days 00:00:03.201868,goss,0.46795366925339016,0.020097109977093058,36,7,10,84,0.0001762211930623266,8.057621115880811e-08,,2,COMPLETE,801
499,499,0.17671898190913998,2023-07-17 17:55:25.768504,2023-07-17 17:55:28.118128,0 days 00:00:02.349624,goss,0.6719929266524461,0.0339119722033763,36,5,15,13,1.087531898284554e-06,9.447448569968059e-06,,4,COMPLETE,570
519,519,0.17678777727872397,2023-07-17 17:56:57.730297,2023-07-17 17:57:00.772370,0 days 00:00:03.042073,goss,0.6811886214565922,0.022479133063794187,36,7,15,40,4.075055416994958e-08,8.620547643066431e-08,,5,COMPLETE,660
327,327,0.17678987481883707,2023-07-17 17:42:14.390788,2023-07-17 17:42:17.974692,0 days 00:00:03.583904,goss,0.4253556915364297,0.03006641645722014,35,7,8,34,0.0001339681984135624,4.596129359579497e-06,,4,COMPLETE,493
732,732,0.17680713671042547,2023-07-17 18:18:00.146787,2023-07-17 18:18:01.126037,0 days 00:00:00.979250,goss,0.6481172991607463,0.11073307652226062,69,7,14,102,1.940474766712515e-07,9.764537458162608e-07,,5,COMPLETE,172
