,number,value,datetime_start,datetime_complete,duration,params_boosting_type,params_colsample_bytree,params_learning_rate,params_max_bin,params_max_depth,params_min_child_samples,params_num_leaves,params_reg_alpha,params_reg_lambda,params_subsample,params_subsample_freq,state,params_n_estimators
991,991,0.1777609787976382,2023-07-06 19:23:56.503975,2023-07-06 19:23:59.090391,0 days 00:00:02.586416,goss,0.46297637415333187,0.024187636506066222,49,9,10,47,0.00010192899930797946,0.0008798890934519918,,4,COMPLETE,473
979,979,0.17777747898309898,2023-07-06 19:22:49.241548,2023-07-06 19:22:51.721617,0 days 00:00:02.480069,goss,0.4695817860786642,0.02604071277826542,48,9,10,45,0.011824746554940264,0.002009005366176283,,3,COMPLETE,438
756,756,0.17837837930722023,2023-07-06 19:00:14.281324,2023-07-06 19:00:18.258634,0 days 00:00:03.977310,goss,0.5122057330313041,0.03255297186228378,63,8,11,38,1.1243480311003546e-08,0.0016848472217386367,,1,COMPLETE,287
921,921,0.17929602638455083,2023-07-06 19:18:16.247396,2023-07-06 19:18:17.759341,0 days 00:00:01.511945,goss,0.6828566314422833,0.048004154010482226,47,8,8,38,3.177365076108071e-07,0.003596904738414613,,1,COMPLETE,159
444,444,0.17943349015231988,2023-07-06 18:46:31.304303,2023-07-06 18:46:31.998270,0 days 00:00:00.693967,goss,0.5773689560356192,0.1585493463157829,32,4,13,69,0.00014219557031533173,5.5772401262293305e-08,,2,COMPLETE,54
585,585,0.17948606616740914,2023-07-06 18:54:15.882908,2023-07-06 18:54:18.889709,0 days 00:00:03.006801,goss,0.5377174669898857,0.018345537661508714,32,4,10,61,0.08582348377451633,0.005674175302110805,,2,COMPLETE,561
601,601,0.179536055955218,2023-07-06 18:54:52.604155,2023-07-06 18:54:54.402668,0 days 00:00:01.798513,goss,0.544431193364971,0.04305505993817574,61,4,8,43,0.11174199909413675,0.005856239912699948,,2,COMPLETE,275
793,793,0.1795911294530378,2023-07-06 19:05:49.145025,2023-07-06 19:05:50.534312,0 days 00:00:01.389287,goss,0.5086114942938768,0.05328784496923902,65,7,11,41,5.690340043293997e-08,6.329982160407872e-05,,3,COMPLETE,191
988,988,0.1796808828407313,2023-07-06 19:23:49.759962,2023-07-06 19:23:51.854624,0 days 00:00:02.094662,goss,0.43866646309022256,0.031428572704555235,47,9,11,46,0.00010823173385610826,0.0005770234751836104,,3,COMPLETE,253
748,748,0.1801144785470951,2023-07-06 18:59:58.779155,2023-07-06 19:00:00.306287,0 days 00:00:01.527132,goss,0.5164773227900815,0.041871051313574666,77,10,13,45,1.0472741253559358e-08,0.00021241816626706752,,1,COMPLETE,249
761,761,0.18016976819807567,2023-07-06 19:01:12.733236,2023-07-06 19:01:17.425300,0 days 00:00:04.692064,goss,0.675335386485255,0.03841466822034659,66,9,9,40,1.0772635524348749e-08,0.0030131667274071084,,1,COMPLETE,183
595,595,0.18025581918930522,2023-07-06 18:54:40.612111,2023-07-06 18:54:43.279964,0 days 00:00:02.667853,goss,0.5444684902120686,0.022887402226597842,48,4,10,44,0.24815109539730687,0.009042132894427153,,2,COMPLETE,421
731,731,0.18041703681320032,2023-07-06 18:59:32.535650,2023-07-06 18:59:33.663747,0 days 00:00:01.128097,goss,0.5012831597970882,0.08447578909267303,51,4,9,47,0.13357681808217506,0.00012696513710410358,,1,COMPLETE,151
640,640,0.18084319060238027,2023-07-06 18:55:57.388115,2023-07-06 18:55:58.970429,0 days 00:00:01.582314,goss,0.525940614432335,0.05101938692986497,72,4,7,46,0.19516891696066235,0.009876032918262589,,1,COMPLETE,243
926,926,0.1810401771188331,2023-07-06 19:18:43.823118,2023-07-06 19:18:45.384210,0 days 00:00:01.561092,goss,0.6811878065824732,0.044643514014171,46,9,12,38,0.005368451548987407,0.04073377791572259,,1,COMPLETE,139
662,662,0.1812069089528684,2023-07-06 18:56:30.499887,2023-07-06 18:56:31.611857,0 days 00:00:01.111970,goss,0.5467399197906954,0.08244724155265519,59,4,10,45,0.1604163004834346,0.016640298596635485,,1,COMPLETE,160
607,607,0.18126995129790402,2023-07-06 18:55:02.887399,2023-07-06 18:55:04.209081,0 days 00:00:01.321682,goss,0.5390463410374096,0.05534820113833299,57,4,10,39,0.07333829241670478,0.0184738025369565,,2,COMPLETE,228
454,454,0.18128190542044303,2023-07-06 18:46:38.938555,2023-07-06 18:46:40.128835,0 days 00:00:01.190280,goss,0.4031309231386835,0.061830943367166366,43,4,13,63,3.213793086398502e-07,5.939382712689575e-08,,2,COMPLETE,294
941,941,0.18146728128443013,2023-07-06 19:20:18.476706,2023-07-06 19:20:19.699558,0 days 00:00:01.222852,goss,0.6913663316483573,0.0658700930759328,46,9,15,40,0.010957620472444238,0.01505703525686168,,3,COMPLETE,122
719,719,0.18155410679712342,2023-07-06 18:58:53.593685,2023-07-06 18:58:55.615449,0 days 00:00:02.021764,goss,0.5401832272454516,0.03813625598353881,64,4,9,41,0.19933006032256748,0.010421879194067372,,1,COMPLETE,322
876,876,0.18164947613454677,2023-07-06 19:14:12.254013,2023-07-06 19:14:14.142148,0 days 00:00:01.888135,goss,0.4230782251408878,0.03650610021864572,77,4,16,39,0.0006160650515968932,0.03731893111356749,,3,COMPLETE,272
992,992,0.18184283230495096,2023-07-06 19:23:59.091378,2023-07-06 19:24:01.495894,0 days 00:00:02.404516,goss,0.4574862758595291,0.024380108243634697,47,9,12,48,8.929778972021931e-05,0.0011523449062823923,,3,COMPLETE,323
596,596,0.18189164912874642,2023-07-06 18:54:43.280924,2023-07-06 18:54:45.268369,0 days 00:00:01.987445,goss,0.5427017390381345,0.0362263839446222,48,4,10,46,0.2081194471125562,0.011292414880295778,,2,COMPLETE,299
856,856,0.18194427196665625,2023-07-06 19:13:12.971707,2023-07-06 19:13:14.403159,0 days 00:00:01.431452,goss,0.5085009859183924,0.04676105870874575,64,4,9,45,0.006994676169511377,0.02068049955489822,,1,COMPLETE,205
983,983,0.1819941776898864,2023-07-06 19:23:10.394212,2023-07-06 19:23:12.920021,0 days 00:00:02.525809,goss,0.44634909059783023,0.025168174675758742,45,9,10,51,0.012318312083341457,0.0012102540396382695,,3,COMPLETE,342
697,697,0.18203384071119794,2023-07-06 18:57:30.910705,2023-07-06 18:57:32.999594,0 days 00:00:02.088889,goss,0.5030717455489515,0.03726880150981349,59,4,11,35,0.3912855628987894,0.0033185693664908584,,1,COMPLETE,350
636,636,0.1822875159557571,2023-07-06 18:55:50.723848,2023-07-06 18:55:52.448985,0 days 00:00:01.725137,goss,0.5354254631776204,0.043947352125659755,62,4,8,47,0.0809028563082009,0.02410738304784571,,1,COMPLETE,243
940,940,0.1822936094739284,2023-07-06 19:20:17.101460,2023-07-06 19:20:18.475659,0 days 00:00:01.374199,goss,0.6643841798181702,0.05383296393200225,46,9,15,43,0.0043683005063137265,0.16861499711742184,,3,COMPLETE,214
976,976,0.18236246909102338,2023-07-06 19:22:13.646219,2023-07-06 19:22:15.444451,0 days 00:00:01.798232,goss,0.49913462648510676,0.031103583124948438,67,9,10,44,0.011842885378873153,0.011810869012087461,,3,COMPLETE,307
874,874,0.18239760036465713,2023-07-06 19:14:08.010319,2023-07-06 19:14:09.893613,0 days 00:00:01.883294,goss,0.5136492011000883,0.03730109439331821,64,4,11,39,0.0012201730783276735,0.16162749701758117,,3,COMPLETE,306
999,999,0.18245168299427178,2023-07-06 19:24:33.381302,2023-07-06 19:24:35.702161,0 days 00:00:02.320859,goss,0.44388231852874827,0.027188816110802417,49,9,12,46,0.0002903428765658107,0.0008185311612322677,,4,COMPLETE,382
654,654,0.18245937637356532,2023-07-06 18:56:18.011560,2023-07-06 18:56:19.745471,0 days 00:00:01.733911,goss,0.5275506549166783,0.041614194946794004,69,4,11,39,0.16584565259886225,0.01956174499463044,,1,COMPLETE,270
631,631,0.18246527153209352,2023-07-06 18:55:43.389031,2023-07-06 18:55:44.838482,0 days 00:00:01.449451,goss,0.5526544403232198,0.055320081563257725,62,4,7,43,0.12114131226610012,0.015368017236057354,,1,COMPLETE,196
806,806,0.18249142415588615,2023-07-06 19:06:51.636193,2023-07-06 19:07:02.966121,0 days 00:00:11.329928,goss,0.5290244425485979,0.0038587108549271057,49,6,7,43,2.1670371877531865e-07,5.5733896366254507e-08,,1,COMPLETE,2145
989,989,0.1826400292894837,2023-07-06 19:23:51.855587,2023-07-06 19:23:54.148421,0 days 00:00:02.292834,goss,0.43143479358279363,0.02940230527571532,51,9,10,51,0.0003297318496136967,0.0007586561663303419,,6,COMPLETE,373
939,939,0.18281958257962208,2023-07-06 19:20:15.680704,2023-07-06 19:20:17.099523,0 days 00:00:01.418819,goss,0.6569626257854969,0.06193040288528579,47,7,10,42,0.008509568194671543,0.003688368178511345,,1,COMPLETE,154
907,907,0.1828866740329535,2023-07-06 19:16:48.744722,2023-07-06 19:16:50.861906,0 days 00:00:02.117184,goss,0.5122941338230163,0.034724902843173755,75,9,9,35,0.5436690234544382,2.0516051245974665e-08,,1,COMPLETE,282
597,597,0.1829455716989432,2023-07-06 18:54:45.269967,2023-07-06 18:54:47.062580,0 days 00:00:01.792613,goss,0.5400378874932454,0.037251424113224164,61,4,10,42,0.17477201033265277,0.006138426543225973,,2,COMPLETE,292
735,735,0.1829860441498065,2023-07-06 18:59:36.476458,2023-07-06 18:59:37.673351,0 days 00:00:01.196893,goss,0.4947059273520162,0.07601040145469562,61,4,9,44,0.4545919915854943,5.6194347065525846e-05,,1,COMPLETE,135
858,858,0.18302883242142992,2023-07-06 19:13:16.250507,2023-07-06 19:13:18.689364,0 days 00:00:02.438857,goss,0.49045741052296843,0.03238155364433721,73,4,5,49,0.02538059530083147,0.0054718427838345955,,1,COMPLETE,250
857,857,0.1830378213680876,2023-07-06 19:13:14.404016,2023-07-06 19:13:16.249551,0 days 00:00:01.845535,goss,0.49019944135617854,0.04128467150325877,66,4,5,45,0.030698805618852687,0.13952488906965982,,1,COMPLETE,220
616,616,0.18307656467183536,2023-07-06 18:55:19.133065,2023-07-06 18:55:20.817068,0 days 00:00:01.684003,goss,0.5431296368029693,0.03660688169943427,57,4,10,47,0.13700300909591556,0.0055503463840461936,,1,COMPLETE,305
644,644,0.1831367679758361,2023-07-06 18:56:03.987277,2023-07-06 18:56:05.300523,0 days 00:00:01.313246,goss,0.5292198435906051,0.055555359241632934,61,4,8,41,0.042190352494023066,0.026288345889764225,,1,COMPLETE,176
276,276,0.1832656243256617,2023-07-06 18:40:18.812778,2023-07-06 18:40:19.838768,0 days 00:00:01.025990,gbdt,0.6351869414222547,0.06283737611278335,32,4,49,60,1.2115698458008353e-05,1.1936393712302778e-05,0.6135125231092462,2,COMPLETE,385
831,831,0.1833435050669721,2023-07-06 19:10:03.755899,2023-07-06 19:10:15.450536,0 days 00:00:11.694637,goss,0.649534969561444,0.0034727498547545265,48,9,9,41,1.349378792855571e-06,2.8695004643052856e-08,,4,COMPLETE,2306
