,number,value,datetime_start,datetime_complete,duration,params_boosting_type,params_colsample_bytree,params_learning_rate,params_max_bin,params_max_depth,params_min_child_samples,params_num_leaves,params_reg_alpha,params_reg_lambda,params_subsample,params_subsample_freq,state
420,420,0.1767269524479309,2023-06-22 20:03:53.513204,2023-06-22 20:03:57.723786,0 days 00:00:04.210582,goss,0.46601844609908644,0.06721754852117871,43,4,13,77,2.647028533290443e-08,1.4508109652306576e-08,,1,COMPLETE
408,408,0.17776792320641588,2023-06-22 20:02:51.388306,2023-06-22 20:02:54.247658,0 days 00:00:02.859352,goss,0.630455946567881,0.06952374279418491,32,4,13,67,2.364898147490523e-06,1.899296147474477e-08,,1,COMPLETE
929,929,0.18451060113497353,2023-06-22 20:57:41.001006,2023-06-22 20:57:43.087598,0 days 00:00:02.086592,goss,0.64173108858971,0.08399670803631504,43,4,13,100,1.2824500226765498e-06,2.0243672082550816e-08,,2,COMPLETE
746,746,0.18586695451189267,2023-06-22 20:33:37.547586,2023-06-22 20:33:39.680244,0 days 00:00:02.132658,goss,0.5595958622456386,0.09179823549538185,43,4,11,97,1.0364961826940825e-07,9.103548180861109e-08,,1,COMPLETE
145,145,0.18628640071479488,2023-06-22 19:45:42.160497,2023-06-22 19:45:45.714336,0 days 00:00:03.553839,goss,0.525513498443627,0.04275988966320384,75,9,15,77,1.2543216502558302e-06,3.4044767667065816e-08,,2,COMPLETE
507,507,0.18665219679223252,2023-06-22 20:08:40.715448,2023-06-22 20:08:42.224865,0 days 00:00:01.509417,goss,0.5719916676589045,0.22644515910343824,40,4,19,89,1.7402450022900162e-07,0.0005711714196320933,,1,COMPLETE
454,454,0.1868822939805827,2023-06-22 20:05:20.068816,2023-06-22 20:05:22.021909,0 days 00:00:01.953093,goss,0.4836810838683066,0.10199789210542909,35,4,13,80,4.6292588069823114e-08,0.00022340162310192438,,1,COMPLETE
289,289,0.18697219282762112,2023-06-22 19:53:54.258292,2023-06-22 19:53:55.586978,0 days 00:00:01.328686,goss,0.6359567420957251,0.2599276617903803,76,9,14,71,8.619565394345727e-06,8.966539531706617e-05,,2,COMPLETE
772,772,0.18707623834439557,2023-06-22 20:36:05.333383,2023-06-22 20:36:07.086713,0 days 00:00:01.753330,goss,0.6386406559845751,0.10715909928031325,38,4,14,100,1.8041747275287704e-07,2.8744008844823123e-08,,1,COMPLETE
243,243,0.1873095676010425,2023-06-22 19:51:07.741312,2023-06-22 19:51:10.888415,0 days 00:00:03.147103,goss,0.5092781278848288,0.046086843559339626,68,9,16,76,2.1536572107148588e-06,2.374563251495197e-08,,2,COMPLETE
182,182,0.1875336748233562,2023-06-22 19:47:57.638586,2023-06-22 19:47:59.259412,0 days 00:00:01.620826,goss,0.488420999459915,0.12054971861991526,35,4,12,52,4.4202934618079395e-07,2.354943702657019e-08,,2,COMPLETE
423,423,0.18790412292568084,2023-06-22 20:04:09.724491,2023-06-22 20:04:11.477358,0 days 00:00:01.752867,goss,0.48589664051961895,0.08919845786703927,42,4,13,79,1.4272238684594723e-08,0.0002573853613690571,,1,COMPLETE
212,212,0.18794658269286843,2023-06-22 19:49:25.333952,2023-06-22 19:49:28.839560,0 days 00:00:03.505608,goss,0.5512538416096331,0.0396885785382129,76,9,15,78,7.146084548530263e-07,1.8640121455721506e-08,,2,COMPLETE
424,424,0.18806660666993025,2023-06-22 20:04:11.478248,2023-06-22 20:04:13.095779,0 days 00:00:01.617531,goss,0.4835044058498962,0.12288152171740914,40,4,12,80,2.5602938534344767e-08,1.3516871539437005e-08,,1,COMPLETE
666,666,0.18830314163827494,2023-06-22 20:26:03.237633,2023-06-22 20:26:06.401095,0 days 00:00:03.163462,goss,0.5345810835878405,0.05614376422870069,32,9,12,69,1.685515978521859e-07,2.9518468574892137e-08,,2,COMPLETE
513,513,0.18840610693116724,2023-06-22 20:08:48.669685,2023-06-22 20:08:49.920406,0 days 00:00:01.250721,goss,0.592870638152713,0.2104516373302028,37,4,16,90,0.04609980083555455,1.0118473783578071e-08,,1,COMPLETE
752,752,0.1884143040904257,2023-06-22 20:34:08.733165,2023-06-22 20:34:11.138949,0 days 00:00:02.405784,goss,0.5595799652316213,0.07806238504020846,42,4,11,91,1.8128238589677542e-07,6.637933731461944e-08,,1,COMPLETE
744,744,0.18885304559070595,2023-06-22 20:33:33.763772,2023-06-22 20:33:35.821916,0 days 00:00:02.058144,goss,0.5616791013110716,0.08181954047758704,42,4,14,92,1.2061357093851994e-07,1.3752360471132776e-07,,1,COMPLETE
777,777,0.18909896451546754,2023-06-22 20:36:20.794069,2023-06-22 20:36:22.532827,0 days 00:00:01.738758,goss,0.6522400373975455,0.10431435985149273,42,4,16,102,1.9069749916666095e-05,0.005576525172515838,,1,COMPLETE
115,115,0.1893308238209465,2023-06-22 19:44:09.901741,2023-06-22 19:44:14.137323,0 days 00:00:04.235582,goss,0.5641918043856091,0.03437023648253422,74,9,17,78,0.00010347227978904857,2.933338839628488e-08,,1,COMPLETE
493,493,0.18944957720205002,2023-06-22 20:07:43.455987,2023-06-22 20:07:44.703920,0 days 00:00:01.247933,goss,0.490301206621462,0.20709388537573642,43,4,13,95,1.5316155792978887e-08,0.0002264287208590338,,1,COMPLETE
181,181,0.1894764310550432,2023-06-22 19:47:55.806512,2023-06-22 19:47:57.637815,0 days 00:00:01.831303,goss,0.4880762090490439,0.11040012129941666,35,5,14,52,1.230046968225263e-06,2.697430952605583e-08,,2,COMPLETE
431,431,0.18949454439128074,2023-06-22 20:04:23.768921,2023-06-22 20:04:25.618884,0 days 00:00:01.849963,goss,0.46574458239634975,0.11092342154256796,43,4,10,78,1.0232060441177084e-08,0.00024190832773419947,,1,COMPLETE
965,965,0.1899078160131664,2023-06-22 21:02:13.323965,2023-06-22 21:02:14.839106,0 days 00:00:01.515141,goss,0.6727506396398192,0.15846022927815936,32,9,18,88,3.1563061357735885e-06,4.232952496627474e-05,,2,COMPLETE
