,number,value,datetime_start,datetime_complete,duration,params_boosting_type,params_colsample_bytree,params_learning_rate,params_max_bin,params_max_depth,params_min_child_samples,params_num_leaves,params_reg_alpha,params_reg_lambda,params_subsample,params_subsample_freq,state,params_n_estimators
931,931,0.18402401507774382,2023-08-02 21:46:31.955700,2023-08-02 21:46:35.751067,0 days 00:00:03.795367,goss,0.5917221511460018,0.022862232471986828,36,6,11,7,0.000928453425818971,2.0626792985033123e-07,,3,COMPLETE,734
864,864,0.18516255562251308,2023-08-02 21:40:12.544294,2023-08-02 21:40:14.340612,0 days 00:00:01.796318,goss,0.6047959819843556,0.07677273291138109,46,6,10,10,1.0011949576622381e-08,3.627488703067568e-08,,3,COMPLETE,192
404,404,0.18529899534627012,2023-08-02 20:33:52.582949,2023-08-02 20:33:58.600710,0 days 00:00:06.017761,goss,0.5285748428123642,0.014453330087495088,36,9,14,88,1.001964695741309e-08,9.985556889180036e-06,,3,COMPLETE,1009
414,414,0.1862697563172491,2023-08-02 20:34:42.055855,2023-08-02 20:34:49.349654,0 days 00:00:07.293799,goss,0.5623024148727027,0.011466522198988045,36,9,10,80,3.031891893173619e-08,6.781865398397381e-05,,3,COMPLETE,1105
178,178,0.1864298039301379,2023-08-02 20:06:27.338716,2023-08-02 20:06:30.256912,0 days 00:00:02.918196,goss,0.5382600678415268,0.031453854605019455,35,6,8,29,5.175859191266338e-05,0.40550529120571926,,4,COMPLETE,580
889,889,0.18664709788961967,2023-08-02 21:41:53.999527,2023-08-02 21:41:56.560326,0 days 00:00:02.560799,goss,0.5027214879223433,0.039411445968945406,36,6,5,8,0.025639145919580917,0.0008185256050741485,,3,COMPLETE,344
937,937,0.18670147584074556,2023-08-02 21:46:57.858073,2023-08-02 21:47:00.227923,0 days 00:00:02.369850,goss,0.5918266504313077,0.05325589328377844,39,6,12,11,0.0004136355967837137,0.0037106295495895935,,3,COMPLETE,371
293,293,0.1869782818882452,2023-08-02 20:20:12.624974,2023-08-02 20:20:16.241798,0 days 00:00:03.616824,goss,0.5868329867993262,0.02140988540755497,36,6,11,29,1.1655835654670545e-08,0.0002995012680021066,,4,COMPLETE,606
409,409,0.1870278702021478,2023-08-02 20:34:12.495746,2023-08-02 20:34:18.223542,0 days 00:00:05.727796,goss,0.5498986370722354,0.015057194780759443,36,9,12,60,1.0513125010722902e-08,4.203066480788945e-08,,3,COMPLETE,906
276,276,0.18731121264478748,2023-08-02 20:18:49.270897,2023-08-02 20:18:54.086559,0 days 00:00:04.815662,goss,0.5963698622665468,0.015321772562339906,36,6,13,36,2.3202958913513294e-08,0.002111517394072386,,4,COMPLETE,978
582,582,0.18772448044775078,2023-08-02 20:56:24.914175,2023-08-02 20:56:27.571748,0 days 00:00:02.657573,goss,0.48023517130090165,0.04253756797338438,36,6,13,68,0.0003390927426377873,0.01050871969977944,,3,COMPLETE,293
395,395,0.18805529680013197,2023-08-02 20:32:59.783716,2023-08-02 20:33:05.085321,0 days 00:00:05.301605,goss,0.5255917058931849,0.017102879939907934,52,6,11,40,1.5237069094039925e-08,1.2486344734164899e-05,,2,COMPLETE,859
721,721,0.1880751498085815,2023-08-02 21:19:43.875066,2023-08-02 21:19:47.577890,0 days 00:00:03.702824,goss,0.4821171586810357,0.024170833546085967,36,6,8,38,2.3767948021606113e-06,0.021220440246877508,,2,COMPLETE,499
954,954,0.1881584664573519,2023-08-02 21:48:30.331759,2023-08-02 21:48:33.850196,0 days 00:00:03.518437,goss,0.5930916710055424,0.025617456123146563,35,6,10,18,0.00405887937474435,2.5683811893213267e-07,,3,COMPLETE,557
459,459,0.1882525285684792,2023-08-02 20:41:20.216972,2023-08-02 20:41:23.973397,0 days 00:00:03.756425,goss,0.6089763224589918,0.02094945398393039,35,9,13,84,0.16997368256234355,8.324379884449805e-07,,3,COMPLETE,792
527,527,0.18826840395939892,2023-08-02 20:50:01.119138,2023-08-02 20:50:03.324369,0 days 00:00:02.205231,goss,0.5173199369771002,0.05272701026132,49,10,15,74,0.018593760197612278,1.1887141674814333e-05,,3,COMPLETE,368
540,540,0.18831156656388823,2023-08-02 20:51:02.789986,2023-08-02 20:51:05.764112,0 days 00:00:02.974126,goss,0.48544748568917123,0.04744049361413489,51,7,11,50,0.025313468447522018,4.1608333731448097e-08,,3,COMPLETE,373
845,845,0.18845387951115003,2023-08-02 21:36:49.592045,2023-08-02 21:36:55.167663,0 days 00:00:05.575618,goss,0.5782590515313795,0.015208241603293452,36,6,9,16,1.0072383006049505e-08,3.7695202824502676e-06,,3,COMPLETE,735
940,940,0.18853734589536333,2023-08-02 21:47:04.127252,2023-08-02 21:47:08.152039,0 days 00:00:04.024787,goss,0.6001995292719944,0.02175546854772998,39,6,12,14,0.00023539507441617906,0.07029368216398467,,3,COMPLETE,693
525,525,0.1885768494252825,2023-08-02 20:49:56.930063,2023-08-02 20:49:59.198830,0 days 00:00:02.268767,goss,0.5236986051129521,0.054622919588228035,39,10,14,69,0.01432651236599344,1.4600100843629316e-05,,3,COMPLETE,285
386,386,0.18861332007495354,2023-08-02 20:32:25.780239,2023-08-02 20:32:30.688310,0 days 00:00:04.908071,goss,0.5281766674191338,0.016928876023105652,49,6,14,41,1.6654205119106094e-08,7.738318335920196e-06,,7,COMPLETE,854
784,784,0.18866647253327792,2023-08-02 21:26:41.052514,2023-08-02 21:26:44.761330,0 days 00:00:03.708816,goss,0.5346653299224535,0.022882417691723844,36,6,8,83,0.0017594072589797144,2.0641373777870552e-08,,2,COMPLETE,498
306,306,0.18877767226304654,2023-08-02 20:21:09.219975,2023-08-02 20:21:15.334303,0 days 00:00:06.114328,goss,0.579417904111922,0.010199338903441244,36,6,14,39,5.089453512805758e-07,1.3635051250074958e-05,,4,COMPLETE,1122
387,387,0.18881103764451448,2023-08-02 20:32:30.688594,2023-08-02 20:32:34.641174,0 days 00:00:03.952580,goss,0.5357496710380628,0.021257489434897227,51,6,14,47,1.729266695302093e-08,3.3812252126904174e-05,,3,COMPLETE,705
613,613,0.18886217565685937,2023-08-02 21:02:13.123598,2023-08-02 21:02:19.961696,0 days 00:00:06.838098,goss,0.5489674590025868,0.012347131349171444,36,6,9,36,6.264295364231285e-08,2.69900393351292e-08,,3,COMPLETE,903
382,382,0.18892029012144318,2023-08-02 20:32:10.302313,2023-08-02 20:32:14.031481,0 days 00:00:03.729168,goss,0.5346964905365842,0.023182520292976846,40,6,12,38,1.0643158677273741e-08,0.01892500486288222,,3,COMPLETE,525
974,974,0.18893818599051873,2023-08-02 21:51:33.482802,2023-08-02 21:51:37.551594,0 days 00:00:04.068792,goss,0.5999270518455206,0.021180937203371674,32,6,14,8,0.007520723169363125,1.0309163228298366e-05,,3,COMPLETE,768
666,666,0.1889661502466663,2023-08-02 21:11:36.638462,2023-08-02 21:11:39.256419,0 days 00:00:02.617957,goss,0.5309705210817941,0.048135244682019324,52,6,8,35,2.9876356519447858e-05,4.132879166118218e-08,,3,COMPLETE,331
506,506,0.1890456415735348,2023-08-02 20:47:06.558855,2023-08-02 20:47:12.109971,0 days 00:00:05.551116,goss,0.5409007422953807,0.050107337915501864,44,10,15,73,0.04103622878406949,0.004294776121314905,,3,COMPLETE,279
942,942,0.18904699343011178,2023-08-02 21:47:12.254097,2023-08-02 21:47:16.303375,0 days 00:00:04.049278,goss,0.6064087020047648,0.02311488751985411,39,6,12,13,0.0008900795998700429,0.07382544071397022,,3,COMPLETE,571
987,987,0.18908339060542836,2023-08-02 21:52:51.109278,2023-08-02 21:52:52.575880,0 days 00:00:01.466602,goss,0.5823852926791356,0.11448096290506464,39,6,12,15,2.0945793329185695e-08,4.073232635003996e-05,,3,COMPLETE,177
853,853,0.18909101324325092,2023-08-02 21:39:05.713911,2023-08-02 21:39:09.251037,0 days 00:00:03.537126,goss,0.5643539003503499,0.024880296655109452,35,6,6,8,0.16082015436761465,1.164685627998309e-06,,3,COMPLETE,478
339,339,0.18914628238043973,2023-08-02 20:26:48.836044,2023-08-02 20:27:01.384867,0 days 00:00:12.548823,goss,0.5502195703466362,0.00568374522845882,36,6,12,37,1.8885681207066358e-07,0.00013637085746857197,,7,COMPLETE,2175
979,979,0.18914630577288127,2023-08-02 21:51:55.457431,2023-08-02 21:51:59.204397,0 days 00:00:03.746966,goss,0.43284569728085354,0.027242984583108004,36,6,10,19,0.9806403537245938,2.7264907923745468e-05,,3,COMPLETE,724
795,795,0.18914790159846953,2023-08-02 21:27:48.342670,2023-08-02 21:27:52.034676,0 days 00:00:03.692006,goss,0.5895895251973916,0.02171275739768241,36,6,10,79,1.0420986406228207e-08,0.04871094786486653,,2,COMPLETE,646
410,410,0.1892297660523806,2023-08-02 20:34:18.223833,2023-08-02 20:34:24.380688,0 days 00:00:06.156855,goss,0.5489441178939848,0.01401140908717263,35,9,11,81,2.5260513060736607e-08,3.507286627064286e-05,,3,COMPLETE,940
701,701,0.18930545606784874,2023-08-02 21:17:14.435626,2023-08-02 21:17:19.269736,0 days 00:00:04.834110,goss,0.47961002520474716,0.015730569308783124,52,6,13,76,3.030536413798657e-08,0.0022998718153838917,,4,COMPLETE,967
234,234,0.18937977460505495,2023-08-02 20:13:41.742277,2023-08-02 20:13:47.733835,0 days 00:00:05.991558,goss,0.5686186034011718,0.0123503467653042,39,6,11,34,1.2346450078084878e-08,0.037037879031951194,,4,COMPLETE,1135
984,984,0.18939800552604624,2023-08-02 21:52:37.623562,2023-08-02 21:52:40.873775,0 days 00:00:03.250213,goss,0.612960918437055,0.03190162718491245,36,6,13,24,2.2753490907718796e-06,8.0822794551197e-06,,3,COMPLETE,429
556,556,0.18940020389230294,2023-08-02 20:52:30.703844,2023-08-02 20:52:34.580606,0 days 00:00:03.876762,goss,0.4979398559778186,0.027927325755583012,36,10,11,38,9.682177173421808e-08,4.137100451824706e-07,,4,COMPLETE,521
248,248,0.1894183556188004,2023-08-02 20:15:08.229019,2023-08-02 20:15:15.612601,0 days 00:00:07.383582,goss,0.5618988261768271,0.00907761503732753,35,6,7,31,1.5717934380222387e-08,0.0027113330745666114,,4,COMPLETE,1104
947,947,0.18952456293791356,2023-08-02 21:47:46.288976,2023-08-02 21:47:50.933699,0 days 00:00:04.644723,goss,0.5999428959954455,0.01894301926780291,36,6,14,13,0.0003453999838753963,1.8286384539964803e-05,,3,COMPLETE,792
182,182,0.18972418330362753,2023-08-02 20:06:39.101928,2023-08-02 20:06:47.771955,0 days 00:00:08.670027,goss,0.5404047190591676,0.007608363054717119,35,6,11,29,6.769394136206575e-05,0.6533074759119409,,4,COMPLETE,1940
737,737,0.18975773161284493,2023-08-02 21:20:36.135976,2023-08-02 21:20:40.160945,0 days 00:00:04.024969,goss,0.4913704339608575,0.018789374467568665,36,5,10,42,0.16586668568068882,1.627954695832983e-05,,3,COMPLETE,705
473,473,0.18977371948471045,2023-08-02 20:42:18.470592,2023-08-02 20:42:20.105648,0 days 00:00:01.635056,goss,0.5664084006951144,0.07111457528378376,39,8,14,83,0.007141943175046356,3.219829883566006e-07,,3,COMPLETE,202
415,415,0.18977651835719822,2023-08-02 20:34:49.350075,2023-08-02 20:34:56.948712,0 days 00:00:07.598637,goss,0.5715218678436511,0.012676975605691953,35,9,7,82,2.7567958299669727e-08,5.169759165009439e-05,,3,COMPLETE,736
698,698,0.18978156448108463,2023-08-02 21:16:31.272636,2023-08-02 21:16:33.142589,0 days 00:00:01.869953,goss,0.37226972258630747,0.05115191665874218,36,6,15,29,6.648959313666052e-07,1.0730320847491134e-05,,3,COMPLETE,263
132,132,0.18978951814489545,2023-08-02 20:02:32.840918,2023-08-02 20:02:37.262837,0 days 00:00:04.421919,goss,0.6821078587355969,0.024015736959372272,35,6,13,29,0.00020914288409278216,0.35990076756801503,,4,COMPLETE,676
956,956,0.18986173179122887,2023-08-02 21:48:38.372208,2023-08-02 21:48:41.944037,0 days 00:00:03.571829,goss,0.5882036898706743,0.025445225724349926,36,6,10,15,0.003642904349659235,4.5311727350934233e-07,,3,COMPLETE,458
304,304,0.18991014296878816,2023-08-02 20:20:55.969552,2023-08-02 20:21:02.316312,0 days 00:00:06.346760,goss,0.5840021089453649,0.010042741959500901,36,6,15,34,1.4315128167022476e-06,0.000525404534142773,,4,COMPLETE,1343
267,267,0.18995746552729445,2023-08-02 20:17:19.373634,2023-08-02 20:17:25.584446,0 days 00:00:06.210812,goss,0.5605541367098029,0.01012321391093124,44,6,12,33,3.7203474986059785e-08,0.007748385994962214,,4,COMPLETE,1182
501,501,0.19003111106974246,2023-08-02 20:45:57.062986,2023-08-02 20:46:02.139695,0 days 00:00:05.076709,goss,0.5555978109989334,0.015531119636678014,36,10,16,69,0.00475877820805684,0.03566249631362516,,3,COMPLETE,830
435,435,0.19006090463835523,2023-08-02 20:37:21.250122,2023-08-02 20:37:26.645487,0 days 00:00:05.395365,goss,0.5621188419730395,0.0170604630415731,35,9,7,70,2.795670328937065e-08,1.316604853358543e-06,,3,COMPLETE,584
913,913,0.1900683965767608,2023-08-02 21:44:20.084639,2023-08-02 21:44:23.644867,0 days 00:00:03.560228,goss,0.525490523147439,0.029599661111941195,39,6,7,8,0.004633762032034874,1.0923287871610358e-06,,3,COMPLETE,426
