,number,value,datetime_start,datetime_complete,duration,params_bagging_fraction,params_bagging_freq,params_feature_fraction,params_lambda_l1,params_lambda_l2,params_learning_rate,params_max_bin,params_max_depth,params_min_data_in_leaf,params_num_leaves,state
242,242,0.23943517829499328,2023-06-13 22:46:55.640525,2023-06-13 22:46:56.886008,0 days 00:00:01.245483,0.6427906023713329,7,0.496312869807646,0.0014998831901770246,6.949985490704574,0.08666800620815356,32,4,31,112,COMPLETE
802,802,0.2412468341298123,2023-06-13 23:12:26.851057,2023-06-13 23:12:28.182345,0 days 00:00:01.331288,0.5757481405790164,7,0.5391611042605922,0.01921281561780966,6.999941339512314,0.07668804292375717,32,4,31,110,COMPLETE
358,358,0.2426547950419578,2023-06-13 22:50:21.751659,2023-06-13 22:50:22.758487,0 days 00:00:01.006828,0.6240561938672075,7,0.5392121840380728,0.0066474170875793345,6.931944209175958,0.16043420784824203,32,4,33,115,COMPLETE
241,241,0.2428462888067256,2023-06-13 22:46:54.504658,2023-06-13 22:46:55.639774,0 days 00:00:01.135116,0.6436748235690197,7,0.530495072094166,0.0015837600086008065,4.976251955350834,0.08506271732432859,32,4,32,113,COMPLETE
214,214,0.242947000476438,2023-06-13 22:46:10.064814,2023-06-13 22:46:11.320297,0 days 00:00:01.255483,0.6377288617614139,7,0.5209408219128736,0.0076298051712146535,9.946678764850592,0.09115598969759951,32,4,25,115,COMPLETE
643,643,0.24298280013565243,2023-06-13 23:03:15.893714,2023-06-13 23:03:17.281177,0 days 00:00:01.387463,0.6437858762266333,7,0.5375987735049558,0.004724152563120973,6.876985160714713,0.07240121638782258,32,4,34,120,COMPLETE
836,836,0.2438323683390161,2023-06-13 23:14:44.206171,2023-06-13 23:14:45.854182,0 days 00:00:01.648011,0.6184709872181058,7,0.4681800564535387,0.0005160206343944442,6.801880979388165,0.06400504107796463,32,4,23,103,COMPLETE
199,199,0.24401361558844345,2023-06-13 22:45:49.379898,2023-06-13 22:45:50.973793,0 days 00:00:01.593895,0.6469212890447473,7,0.5313724917485072,0.0022986613840437226,7.73086593904694,0.0626732515069932,32,4,30,119,COMPLETE
218,218,0.2444696236862463,2023-06-13 22:46:14.980896,2023-06-13 22:46:16.162017,0 days 00:00:01.181121,0.6337464709303449,7,0.5204234646583,0.006213909158713836,5.429784499909746,0.09119794205230047,32,4,26,117,COMPLETE
194,194,0.24453954055873178,2023-06-13 22:45:41.867846,2023-06-13 22:45:43.396183,0 days 00:00:01.528337,0.6488672651507259,7,0.5299962759645366,0.002208560532122388,6.951702166800846,0.06562572142934649,32,4,32,111,COMPLETE
197,197,0.2445842825283144,2023-06-13 22:45:46.322280,2023-06-13 22:45:47.718345,0 days 00:00:01.396065,0.6511622350405251,7,0.5277639267827836,0.0019862863416546224,6.6596584023948,0.07099997004377641,32,4,31,115,COMPLETE
