,number,value,datetime_start,datetime_complete,duration,params_bagging_freq,params_feature_fraction,params_lambda_l1,params_lambda_l2,params_learning_rate,params_max_bin,params_max_depth,params_min_data_in_leaf,params_num_leaves,state
478,478,0.23204356961448372,2023-06-13 22:03:16.995593,2023-06-13 22:03:18.837458,0 days 00:00:01.841865,7,0.6246598507060309,1.7964370113205523e-08,1.7522707651576903e-06,0.06378226796640879,46,4,17,116,COMPLETE
456,456,0.2324114679358176,2023-06-13 22:01:36.488243,2023-06-13 22:01:38.590204,0 days 00:00:02.101961,7,0.6068378806689372,1.8412015677813722e-08,3.538151412119281e-06,0.027818662762602808,51,5,14,123,COMPLETE
786,786,0.2332819807672407,2023-06-13 22:24:25.101735,2023-06-13 22:24:25.982701,0 days 00:00:00.880966,7,0.6150903977071068,0.007520441828316813,8.664310638314929e-06,0.12556666049747886,52,4,14,46,COMPLETE
367,367,0.23340335549190402,2023-06-13 21:57:58.028285,2023-06-13 21:57:59.735578,0 days 00:00:01.707293,7,0.6001560497106277,5.865875232096201e-05,1.7095069265357941e-06,0.040360881808401854,49,4,18,120,COMPLETE
683,683,0.23347471143055773,2023-06-13 22:16:55.577892,2023-06-13 22:16:56.739686,0 days 00:00:01.161794,3,0.4949457616678508,0.008115133800745498,1.6155016833246405e-07,0.08446608560793184,33,4,10,46,COMPLETE
652,652,0.23366662489907372,2023-06-13 22:14:16.651525,2023-06-13 22:14:18.244628,0 days 00:00:01.593103,7,0.6088179069881259,0.00013366556341542381,4.303293050219396e-06,0.04079365640503603,47,6,18,35,COMPLETE
820,820,0.23367213043549118,2023-06-13 22:26:28.847824,2023-06-13 22:26:30.672323,0 days 00:00:01.824499,7,0.5288974232551956,0.00014806964700318719,9.27322014998632e-06,0.03410083570001185,46,4,14,32,COMPLETE
582,582,0.23404680723454022,2023-06-13 22:09:42.180623,2023-06-13 22:09:44.310875,0 days 00:00:02.130252,7,0.5508612953001655,0.0010643779594581681,6.935044119726908e-06,0.027676050535393168,38,4,12,31,COMPLETE
831,831,0.23410854926331742,2023-06-13 22:27:44.804593,2023-06-13 22:27:45.930726,0 days 00:00:01.126133,7,0.518763379157297,4.457907852244724e-05,1.4279459922382534e-05,0.07688528619295028,37,4,14,29,COMPLETE
785,785,0.23416161327213,2023-06-13 22:24:24.150751,2023-06-13 22:24:25.100702,0 days 00:00:00.949951,7,0.6194170869456598,0.004452173278354805,6.2238557923503e-06,0.1012663882598283,50,4,12,53,COMPLETE
595,595,0.23433573154801404,2023-06-13 22:10:15.610734,2023-06-13 22:10:17.391520,0 days 00:00:01.780786,7,0.511279218172116,0.00014546875375194746,1.8484453731934468e-06,0.0324303911406786,45,4,12,45,COMPLETE
939,939,0.23451956900559703,2023-06-13 22:35:46.097872,2023-06-13 22:35:47.064435,0 days 00:00:00.966563,7,0.3700160061529473,1.667715087832313e-06,2.4808900057624336e-07,0.11580233268931302,50,4,13,36,COMPLETE
597,597,0.23457481831551003,2023-06-13 22:10:28.699806,2023-06-13 22:10:30.466799,0 days 00:00:01.766993,7,0.5324680203813787,0.00019463867131231416,1.7477628916919897e-06,0.035773774671660145,45,4,12,35,COMPLETE
926,926,0.23474771414448228,2023-06-13 22:35:00.751149,2023-06-13 22:35:02.000348,0 days 00:00:01.249199,7,0.3758190441185572,1.5968329050885574e-08,1.4149623287383799e-05,0.07845082379442603,49,4,13,38,COMPLETE
433,433,0.23477940350027307,2023-06-13 22:00:48.889798,2023-06-13 22:00:50.278894,0 days 00:00:01.389096,7,0.5554950793890557,1.8065648212009638e-08,8.851263586392904e-07,0.05592463706772908,47,4,19,122,COMPLETE
446,446,0.23485215928945644,2023-06-13 22:01:08.980740,2023-06-13 22:01:10.855629,0 days 00:00:01.874889,7,0.596529533507711,4.181846710983762e-06,3.3646337855571897e-06,0.03293348273175126,44,4,16,116,COMPLETE
684,684,0.23485295806802292,2023-06-13 22:16:56.740708,2023-06-13 22:16:57.791330,0 days 00:00:01.050622,3,0.4795187637817097,0.05295397503983885,8.763924644936586e-06,0.08930019125750549,34,4,8,47,COMPLETE
410,410,0.23499773520427145,2023-06-13 21:59:34.290308,2023-06-13 21:59:38.111006,0 days 00:00:03.820698,7,0.5952064641566988,9.171051202505303e-06,3.4879708239830754e-06,0.03201765489675475,52,4,17,113,COMPLETE
373,373,0.23527951423631027,2023-06-13 21:58:11.228665,2023-06-13 21:58:12.954234,0 days 00:00:01.725569,7,0.5871468389445917,7.265958128288523e-05,5.4489915641012655e-06,0.04075161725336417,51,4,16,115,COMPLETE
484,484,0.23530495994439998,2023-06-13 22:03:39.463734,2023-06-13 22:03:40.694775,0 days 00:00:01.231041,7,0.5898692915854895,4.547549142372764e-08,8.568212546244471e-06,0.07491744419423006,45,4,12,122,COMPLETE
605,605,0.23531548329655702,2023-06-13 22:10:41.296747,2023-06-13 22:10:44.364788,0 days 00:00:03.068041,7,0.523463071363241,0.00016689047766680766,7.283710900194599e-07,0.02634152959254064,45,4,12,32,COMPLETE
575,575,0.23538391942720693,2023-06-13 22:09:26.080505,2023-06-13 22:09:27.645258,0 days 00:00:01.564753,7,0.5910731099671558,2.747550582412835e-05,3.7999944798325847e-06,0.054325589367484474,41,4,18,35,COMPLETE
832,832,0.23553462324656657,2023-06-13 22:27:45.931787,2023-06-13 22:27:46.978305,0 days 00:00:01.046518,5,0.5205095999800957,4.1082204076123944e-05,7.076768677951045e-06,0.08430241876653775,35,4,10,24,COMPLETE
354,354,0.23557738500407452,2023-06-13 21:57:36.352339,2023-06-13 21:57:38.099375,0 days 00:00:01.747036,7,0.6168873234734573,0.00015862329879665787,3.638461462238495e-07,0.03907197266699399,47,4,19,114,COMPLETE
371,371,0.2356131630701433,2023-06-13 21:58:06.598369,2023-06-13 21:58:09.179837,0 days 00:00:02.581468,7,0.5969199475743626,6.570474846911609e-05,3.924000393954566e-06,0.04665914784379452,50,4,17,116,COMPLETE
890,890,0.23564937149354073,2023-06-13 22:32:01.863899,2023-06-13 22:32:02.949210,0 days 00:00:01.085311,7,0.37287534027088554,0.041790794024004596,8.213539006753704e-06,0.0825859323674109,37,4,16,43,COMPLETE
557,557,0.235788219145312,2023-06-13 22:08:19.577109,2023-06-13 22:08:21.346964,0 days 00:00:01.769855,7,0.572025833148169,0.00017560936420506562,2.1944960513777103e-06,0.03540419744741044,47,4,14,41,COMPLETE
552,552,0.23580770652138752,2023-06-13 22:07:51.694996,2023-06-13 22:07:53.664403,0 days 00:00:01.969407,7,0.5749316986175375,1.2356861154579139e-05,1.2725665734542992e-06,0.03544341904210716,47,4,14,41,COMPLETE
393,393,0.23581665834613286,2023-06-13 21:58:54.821519,2023-06-13 21:58:57.177605,0 days 00:00:02.356086,7,0.586125615206568,2.4797057647532272e-05,3.7347253564037968e-06,0.053926632293033475,50,4,18,115,COMPLETE
315,315,0.2358213571439989,2023-06-13 21:55:35.571024,2023-06-13 21:55:37.535173,0 days 00:00:01.964149,7,0.6216617723385651,2.0605653944431385e-05,0.0001410601185610994,0.02909474675993146,47,4,17,30,COMPLETE
365,365,0.23601763111733443,2023-06-13 21:57:54.375498,2023-06-13 21:57:56.247894,0 days 00:00:01.872396,7,0.6190064868564374,0.00022752973011496376,5.294713160736172e-06,0.03309592985488383,50,4,17,120,COMPLETE
390,390,0.23613682968693722,2023-06-13 21:58:48.063724,2023-06-13 21:58:50.457934,0 days 00:00:02.394210,7,0.5798901558286454,1.8673640765463566e-05,3.4044619755805958e-06,0.044142703227612476,52,4,19,121,COMPLETE
680,680,0.23613786598538963,2023-06-13 22:16:36.376263,2023-06-13 22:16:37.677074,0 days 00:00:01.300811,3,0.6271259349867387,0.0026009830001427676,8.757631744478241e-08,0.0640028175598049,36,4,10,39,COMPLETE
368,368,0.23620536552246468,2023-06-13 21:57:59.736642,2023-06-13 21:58:01.604457,0 days 00:00:01.867815,7,0.6048316141825224,7.705477500216022e-05,2.398589224575229e-06,0.03982002205655237,50,4,19,116,COMPLETE
364,364,0.23639210783133163,2023-06-13 21:57:52.725405,2023-06-13 21:57:54.374508,0 days 00:00:01.649103,7,0.6161512006338803,0.00018748710879585857,3.593508220484192e-07,0.040022240207693294,48,4,17,120,COMPLETE
749,749,0.23639426139450387,2023-06-13 22:22:08.749667,2023-06-13 22:22:10.346597,0 days 00:00:01.596930,7,0.5656603179480056,3.604888530820695e-05,9.009752666536056e-06,0.0351143106465139,36,4,19,31,COMPLETE
610,610,0.23640837631003833,2023-06-13 22:11:14.420584,2023-06-13 22:11:17.984302,0 days 00:00:03.563718,7,0.5393444063686393,0.00011691835576106103,1.2479959034099258e-06,0.025484391766195717,46,4,14,38,COMPLETE
732,732,0.23657703859945894,2023-06-13 22:20:40.741837,2023-06-13 22:20:41.980601,0 days 00:00:01.238764,7,0.5547456108697684,0.004913384795345212,9.49033866713996e-06,0.05830897865345031,56,4,17,108,COMPLETE
378,378,0.23664060611628743,2023-06-13 21:58:20.341827,2023-06-13 21:58:22.299817,0 days 00:00:01.957990,7,0.5810822436761931,4.755114244059085e-05,9.960453946209438e-07,0.03612860455423377,49,4,16,117,COMPLETE
581,581,0.2366794553753359,2023-06-13 22:09:40.373576,2023-06-13 22:09:42.179592,0 days 00:00:01.806016,7,0.5512087711385053,0.0011321989886891356,3.075601626553076e-06,0.029743972582346886,45,4,15,39,COMPLETE
403,403,0.23668756471573246,2023-06-13 21:59:15.413459,2023-06-13 21:59:18.365343,0 days 00:00:02.951884,7,0.5791904806420032,6.234838162101821e-05,5.874524421335413e-06,0.057443538124773236,52,4,24,119,COMPLETE
464,464,0.2367187301366446,2023-06-13 22:01:54.425720,2023-06-13 22:01:56.292018,0 days 00:00:01.866298,7,0.5588135325423347,1.5091866066669213e-08,3.7369921944144564e-06,0.03525645154266878,49,4,13,119,COMPLETE
624,624,0.23675506538858263,2023-06-13 22:12:00.239803,2023-06-13 22:12:02.351765,0 days 00:00:02.111962,7,0.5327267803076656,9.034386704768812e-05,1.953724428554656e-06,0.026911943618432136,47,4,12,32,COMPLETE
463,463,0.23684177062118744,2023-06-13 22:01:52.626110,2023-06-13 22:01:54.424719,0 days 00:00:01.798609,7,0.602592095850795,1.0404101319884973e-08,4.283682241101448e-06,0.030950687885547223,50,4,19,121,COMPLETE
594,594,0.23685045360819992,2023-06-13 22:10:13.564339,2023-06-13 22:10:15.609847,0 days 00:00:02.045508,7,0.5395383854344369,9.610700819953595e-06,1.218382908136481e-06,0.026352220569473644,44,4,15,38,COMPLETE
810,810,0.23685762173446837,2023-06-13 22:25:58.101846,2023-06-13 22:25:59.039267,0 days 00:00:00.937421,7,0.5925332765028593,4.149317730759882e-08,0.12862487136496245,0.1006698562939011,65,4,18,68,COMPLETE
455,455,0.23687477447016175,2023-06-13 22:01:34.860664,2023-06-13 22:01:36.487245,0 days 00:00:01.626581,7,0.6111462939332427,2.041020575797653e-08,3.1086795623812438e-06,0.04078009868267747,50,4,17,121,COMPLETE
607,607,0.23692428656320527,2023-06-13 22:10:46.879344,2023-06-13 22:10:49.149115,0 days 00:00:02.269771,7,0.527012698658448,0.000415691180959214,6.383780163904525e-07,0.02952711247668461,45,4,11,31,COMPLETE
439,439,0.23709264317244708,2023-06-13 22:00:57.991542,2023-06-13 22:00:59.602292,0 days 00:00:01.610750,7,0.6208763870281201,3.016834740546597e-08,2.5735676961633727e-06,0.04102409213052273,49,4,19,119,COMPLETE
650,650,0.23711352260999083,2023-06-13 22:14:13.643856,2023-06-13 22:14:15.656124,0 days 00:00:02.012268,7,0.5822490628273266,3.2857150300554406e-05,1.067158905945305e-05,0.031543216252516035,52,4,14,48,COMPLETE
518,518,0.23713710273707686,2023-06-13 22:06:20.410660,2023-06-13 22:06:21.724857,0 days 00:00:01.314197,7,0.6005021084826679,2.969220303908457e-08,4.027459549585608e-06,0.062400672071896306,47,4,17,113,COMPLETE
564,564,0.23714544797742743,2023-06-13 22:08:53.104916,2023-06-13 22:08:54.363617,0 days 00:00:01.258701,7,0.5880474462658027,7.040253380604877e-05,6.754456417853706e-06,0.06031040678181419,48,4,17,43,COMPLETE
