,number,value,datetime_start,datetime_complete,duration,params_alpha,params_booster,params_colsample_bytree,params_gamma,params_grow_policy,params_lambda,params_learning_rate,params_max_depth,params_min_child_weight,params_subsample,state,params_n_estimators
482,482,0.2657005554367695,2023-07-17 15:29:46.550715,2023-07-17 15:29:49.661517,0 days 00:00:03.110802,0.7261470012070096,gbtree,0.8298618569005902,2.564587684916301e-06,lossguide,0.13411384265274495,0.038192675024456085,7,5,0.5893654145277185,COMPLETE,2986
530,530,0.2661324350775131,2023-07-17 15:34:15.437441,2023-07-17 15:34:18.424768,0 days 00:00:02.987327,5.492934348632504e-06,gbtree,0.8585288618941725,4.166640706862134e-05,depthwise,3.4409176294534043e-07,0.03492379036008038,4,4,0.49583578961081676,COMPLETE,2999
520,520,0.2663922942696514,2023-07-17 15:33:39.121241,2023-07-17 15:33:41.839269,0 days 00:00:02.718028,2.9274263625620816e-06,gbtree,0.866742442179488,6.682261191831919e-05,depthwise,2.2430297119468927e-07,0.04115729360766125,4,4,0.5105030903296938,COMPLETE,2999
529,529,0.26650388804085495,2023-07-17 15:34:12.772390,2023-07-17 15:34:15.436586,0 days 00:00:02.664196,5.96565445735312e-06,gbtree,0.8921775766081388,2.669612951284054e-05,depthwise,3.790878556819012e-07,0.03731034217851239,4,4,0.4962995431963321,COMPLETE,2999
573,573,0.26672343684491273,2023-07-17 15:38:21.894642,2023-07-17 15:38:24.985132,0 days 00:00:03.090490,0.0001127065705696785,gbtree,0.7414326309623668,4.204072490633757e-08,depthwise,3.052159383267024e-06,0.03796800330791373,6,4,0.6755818817165677,COMPLETE,2920
462,462,0.2667529626193082,2023-07-17 15:27:21.939365,2023-07-17 15:27:26.144181,0 days 00:00:04.204816,0.10153705295455827,gbtree,0.8763137854148796,3.525336288887258e-06,depthwise,1.0663469642701362e-05,0.028550027045093837,8,6,0.6295184051688976,COMPLETE,2999
514,514,0.2667951764543065,2023-07-17 15:33:24.180098,2023-07-17 15:33:26.674178,0 days 00:00:02.494080,1.0593064852054996e-05,gbtree,0.9372452076564568,4.75543518377314e-05,depthwise,6.699211726513032e-07,0.039522697660894446,4,4,0.49019239903155676,COMPLETE,2999
141,141,0.2668162902456125,2023-07-17 14:24:57.391625,2023-07-17 14:25:06.748410,0 days 00:00:09.356785,0.02528900793450372,gbtree,0.8473987080075022,2.0244867919682587e-08,depthwise,2.3890603328664053e-05,0.02977430060478363,6,5,0.6239015303169675,COMPLETE,2999
182,182,0.2668379665190931,2023-07-17 14:31:29.983570,2023-07-17 14:31:38.175826,0 days 00:00:08.192256,0.06491423318906905,gbtree,0.7507135957822828,1.5916855810119233e-07,depthwise,7.466555907468107e-06,0.03277348841427733,7,5,0.6016540371058477,COMPLETE,1150
986,986,0.26684539658436035,2023-07-17 16:39:27.575129,2023-07-17 16:39:30.270098,0 days 00:00:02.694969,0.5133781670258506,gbtree,0.8633710557339379,0.03738876174290019,depthwise,1.6767158852963536e-05,0.040915167145654484,9,5,0.5382329749535063,COMPLETE,1528
228,228,0.2668746697150516,2023-07-17 14:38:21.859621,2023-07-17 14:38:29.882520,0 days 00:00:08.022899,0.820938984830716,gbtree,0.8890815909360168,1.0703600733417459e-06,depthwise,5.331029004654457e-06,0.032120088529672776,7,5,0.55174550655107,COMPLETE,459
251,251,0.2670313793523099,2023-07-17 14:42:04.930350,2023-07-17 14:42:12.823710,0 days 00:00:07.893360,0.978262380292861,gbtree,0.9046006958121704,4.664202000156736e-06,depthwise,0.9460045823600068,0.04143019357984879,10,6,0.5912631862816375,COMPLETE,2676
568,568,0.2671640984409057,2023-07-17 15:37:49.917032,2023-07-17 15:37:53.113256,0 days 00:00:03.196224,0.00017247270029023496,gbtree,0.7269428751870022,4.386666420080402e-08,depthwise,3.4721948375124373e-06,0.03248450815203049,6,4,0.6733358894772266,COMPLETE,956
110,110,0.2672308575561147,2023-07-17 14:21:25.784362,2023-07-17 14:21:31.021614,0 days 00:00:05.237252,0.00041367363298225194,gbtree,0.8973276463932303,2.5873160841342012e-08,lossguide,1.4292916839765764e-05,0.05991005821846644,8,5,0.546032776053075,COMPLETE,503
